City_x,County,Zipcode,Total Households 2012,Total Households 2012 Margin of Error,Total Households Income 2012,Total Households Income 2012 Margin of Error,Total Households 2013,Total Households 2013 Margin of Error,Total Households Income 2013,Total Households Income 2013 Margin of Error,Total Households 2014,Total Households 2014 Margin of Error,Total Households Income 2014,Total Households Income 2014 Margin of Error,Total Households 2015,Total Households 2015 Margin of Error,Total Households Income 2015,Total Households Income 2015 Margin of Error,Total Households 2016,Total Households 2016 Margin of Error,Total Households Income 2016,Total Households Income 2016 Margin of Error,License,Street,City_y
Aurora,Arapahoe,80016,14433.0,303.0,102173,5368,15075.0,310.0,101280,5023,16020.0,296.0,102646,4560,16434.0,315.0,103449,2476,16800.0,303.0,107305,4540,402R-00304,6260 South Gun Club Road,Aurora
Aurora,Arapahoe,80016,14433.0,303.0,102173,5368,15075.0,310.0,101280,5023,16020.0,296.0,102646,4560,16434.0,315.0,103449,2476,16800.0,303.0,107305,4540,402R-00316,14655 East Arapahoe Road,Aurora
Aurora,Arapahoe,80017,12868.0,377.0,51537,2130,12817.0,340.0,49519,2961,12657.0,325.0,50536,1900,12713.0,317.0,51812,1973,12627.0,310.0,56227,3187,402R-00307,1712 South Chambers Road,Aurora
Aurora,Arapahoe,80018,3225.0,258.0,87373,10167,3280.0,223.0,95843,8238,3389.0,231.0,98850,10396,3421.0,274.0,97648,11275,3642.0,235.0,94636,7210,,,
Aurora,Adams,80019,757.0,135.0,61152,16435,800.0,133.0,63519,19533,819.0,121.0,63461,7025,845.0,133.0,67019,21275,855.0,126.0,72468,11707,,,
Broomfield,Broomfield,80020,17635.0,295.0,79625,2950,17910.0,305.0,77600,3710,18013.0,321.0,79903,3207,18249.0,266.0,80554,3184,18638.0,260.0,83056,2494,,,
Broomfield,Jefferson,80021,12594.0,380.0,70895,2751,12803.0,330.0,71221,3277,12511.0,288.0,74039,3294,13034.0,394.0,75634,2832,13467.0,399.0,75427,3314,,,
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00655,5846 Dahlia Street,Commerce City
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00688,5301 Vasquez Boulevard Unit 101,Commerce City
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00712,5715 Fairfax Street,Commerce City
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00774,5385 Quebec Street,Commerce City
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00577,5844 Dahlia Street,Commerce City
Commerce City,Adams,80022,13187.0,473.0,56687,2899,13488.0,446.0,56449,2598,13493.0,416.0,57451,3034,13488.0,412.0,57318,2653,13694.0,431.0,58649,4078,402R-00550,5433 Quebec Street,Commerce City
Dupont,Adams,80024,107.0,56.0,46058,14892,116.0,70.0,41531,7906,152.0,76.0,41591,17494,96.0,36.0,(X),(X),111.0,43.0,-,**,,,
Eldorado Springs,Boulder,80025,99.0,52.0,130107,98011,102.0,43.0,121875,76651,94.0,49.0,124091,78038,147.0,63.0,135602,37611,154.0,65.0,135862,37501,,,
Lafayette,Boulder,80026,10806.0,369.0,70642,3441,11026.0,324.0,71117,2831,11119.0,339.0,71399,3527,11468.0,292.0,71782,2866,11583.0,341.0,74424,3442,402R-00703,1669 Coal Creek Drive,Lafayette
Lafayette,Boulder,80026,10806.0,369.0,70642,3441,11026.0,324.0,71117,2831,11119.0,339.0,71399,3527,11468.0,292.0,71782,2866,11583.0,341.0,74424,3442,402R-00215,"400 West South Boulder Road, Suite 2700",Lafayette
Lafayette,Boulder,80026,10806.0,369.0,70642,3441,11026.0,324.0,71117,2831,11119.0,339.0,71399,3527,11468.0,292.0,71782,2866,11583.0,341.0,74424,3442,402R-00678,1325 South Public Road,Lafayette
Louisville,Boulder,80027,12373.0,298.0,93266,4372,12254.0,291.0,95635,4561,12312.0,286.0,103671,7089,12397.0,279.0,104131,5444,12477.0,301.0,103461,5710,402R-00203,"1100 West Dillon Road, Unit D-3",Louisville
Louisville,Boulder,80027,12373.0,298.0,93266,4372,12254.0,291.0,95635,4561,12312.0,286.0,103671,7089,12397.0,279.0,104131,5444,12477.0,301.0,103461,5710,402R-00214,"1156 West Dillon Road, Unit 3",Louisville
Louisville,Boulder,80028,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80030,5780.0,207.0,41151,7148,5847.0,278.0,39494,4770,6027.0,259.0,40151,3857,5990.0,283.0,43922,3900,6060.0,281.0,46236,2038,,,
Westminster,Adams,80031,12582.0,328.0,68919,4270,12853.0,313.0,70536,3162,13098.0,379.0,69305,1967,13056.0,367.0,70011,3329,13237.0,272.0,72664,3713,,,
Wheat Ridge,Jefferson,80033,11101.0,385.0,48521,2077,11106.0,437.0,47841,2402,11246.0,379.0,49456,2693,11345.0,416.0,48195,3136,11590.0,408.0,49081,2848,402R-00763,10185 West 49th Avenue,Wheat Ridge
Wheat Ridge,Jefferson,80033,11101.0,385.0,48521,2077,11106.0,437.0,47841,2402,11246.0,379.0,49456,2693,11345.0,416.0,48195,3136,11590.0,408.0,49081,2848,402R-00154,4800 Lamar Street,Wheat Ridge
Wheat Ridge,Jefferson,80033,11101.0,385.0,48521,2077,11106.0,437.0,47841,2402,11246.0,379.0,49456,2693,11345.0,416.0,48195,3136,11590.0,408.0,49081,2848,402R-00184,9085 West 44th Avenue,Wheat Ridge
Wheat Ridge,Jefferson,80033,11101.0,385.0,48521,2077,11106.0,437.0,47841,2402,11246.0,379.0,49456,2693,11345.0,416.0,48195,3136,11590.0,408.0,49081,2848,402R-00153,4845 Van Gordon Street,Wheat Ridge
Wheat Ridge,Jefferson,80034,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80035,,,,,,,,,,,,,,,,,,,,,,,
Westminster,Adams,80036,,,,,,,,,,,,,,,,,,,,,,,
Commerce City,Adams,80037,,,,,,,,,,,,,,,,,,,,,,,
Broomfield,Broomfield,80038,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80040,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80041,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80042,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80044,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Adams,80045,175.0,49.0,30859,32517,294.0,67.0,33500,23671,359.0,47.0,35817,13717,424.0,47.0,(X),(X),513.0,59.0,35162,25771,,,
Aurora,Arapahoe,80046,,,,,,,,,,,,,,,,,,,,,,,
Aurora,Arapahoe,80047,,,,,,,,,,,,,,,,,,,,,,,
Agate,Elbert,80101,75.0,28.0,45893,6697,115.0,37.0,46719,9918,114.0,31.0,49167,8395,148.0,32.0,48214,8120,148.0,30.0,51538,6822,,,
Bennett,Adams,80102,1854.0,176.0,65682,4841,1915.0,154.0,62723,7255,1903.0,134.0,62440,7670,1850.0,139.0,67188,5776,1939.0,155.0,66801,8722,,,
Byers,Arapahoe,80103,889.0,97.0,61198,7981,898.0,99.0,62083,11018,976.0,111.0,58205,10097,948.0,100.0,66179,3623,962.0,126.0,67533,3566,,,
Castle Rock,Douglas,80104,9903.0,247.0,81124,4551,9950.0,286.0,81017,3767,10148.0,282.0,82129,2929,10592.0,308.0,84273,3720,10362.0,241.0,86450,4605,,,
Deer Trail,Arapahoe,80105,426.0,74.0,61667,9941,463.0,65.0,56250,9946,463.0,70.0,56042,9918,558.0,70.0,53182,9116,570.0,84.0,56429,13844,,,
Elbert,El Paso,80106,1566.0,180.0,100789,15339,1505.0,146.0,97321,17363,1464.0,148.0,94875,16103,1512.0,183.0,94653,10077,1695.0,156.0,97083,9204,,,
Elizabeth,Elbert,80107,4050.0,167.0,82421,6936,4052.0,190.0,85141,6300,4257.0,152.0,82337,6550,4271.0,148.0,85351,6433,4177.0,173.0,90257,6040,,,
Castle Rock,Douglas,80108,7958.0,280.0,122894,8986,8271.0,277.0,120159,10317,8297.0,321.0,121283,14207,8818.0,250.0,123750,9329,8969.0,274.0,126295,7267,,,
Castle Rock,Douglas,80109,5811.0,232.0,106971,4312,5877.0,228.0,108781,3945,6145.0,197.0,108799,4731,6463.0,200.0,108949,6476,6617.0,177.0,116891,7338,,,
Englewood,Arapahoe,80110,8738.0,385.0,40093,2605,8804.0,390.0,41793,2995,8813.0,318.0,45271,2878,8896.0,312.0,46046,1910,8907.0,300.0,48439,4009,402R-00757,2800 West Hampden Avenue,Sheridan
Englewood,Arapahoe,80110,8738.0,385.0,40093,2605,8804.0,390.0,41793,2995,8813.0,318.0,45271,2878,8896.0,312.0,46046,1910,8907.0,300.0,48439,4009,402R-00737,3926 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80110,8738.0,385.0,40093,2605,8804.0,390.0,41793,2995,8813.0,318.0,45271,2878,8896.0,312.0,46046,1910,8907.0,300.0,48439,4009,402R-00652,5005 South Federal Boulevard,Englewood
Englewood,Arapahoe,80110,8738.0,385.0,40093,2605,8804.0,390.0,41793,2995,8813.0,318.0,45271,2878,8896.0,312.0,46046,1910,8907.0,300.0,48439,4009,402R-00743,3318 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80110,8738.0,385.0,40093,2605,8804.0,390.0,41793,2995,8813.0,318.0,45271,2878,8896.0,312.0,46046,1910,8907.0,300.0,48439,4009,402R-00715,4444 South Federal Boulevard,Sheridan
Englewood,Arapahoe,80111,11563.0,276.0,93096,6110,11830.0,272.0,93241,4329,12028.0,250.0,92051,5603,12131.0,278.0,96496,5594,12224.0,309.0,97276,5612,,,
Englewood,Arapahoe,80112,11688.0,377.0,81310,6693,12437.0,336.0,81191,5761,12637.0,341.0,83138,5689,13043.0,346.0,86132,5505,13140.0,324.0,87333,5928,,,
Englewood,Arapahoe,80113,9272.0,357.0,53718,2089,9369.0,345.0,53185,2917,9418.0,333.0,54297,3403,9499.0,325.0,53684,2794,9783.0,355.0,57750,4026,402R-00659,4332 South Broadway,Englewood
Franktown,Douglas,80116,1418.0,138.0,92134,13747,1431.0,127.0,99712,10434,1430.0,141.0,103519,8646,1435.0,125.0,107314,12288,1468.0,120.0,107857,14015,,,
Kiowa,Elbert,80117,1080.0,126.0,64333,13278,1091.0,116.0,64813,8743,1026.0,119.0,65833,11079,1011.0,115.0,83576,8446,1065.0,121.0,80875,12947,,,
Larkspur,Douglas,80118,1913.0,156.0,109421,11545,1994.0,138.0,107882,4845,2051.0,139.0,108107,5855,2361.0,149.0,108977,5188,2442.0,140.0,110846,6961,,,
Littleton,Arapahoe,80120,12711.0,375.0,52632,2151,12936.0,307.0,54878,2765,13225.0,300.0,57902,3826,13418.0,286.0,61250,3058,13549.0,345.0,62774,3442,,,
Littleton,Arapahoe,80121,7078.0,175.0,84518,3138,7125.0,197.0,86228,4744,7181.0,155.0,87370,4895,7122.0,177.0,88639,6182,7290.0,194.0,91842,6543,,,
Littleton,Arapahoe,80122,11903.0,222.0,83417,6461,12201.0,236.0,78722,4994,12220.0,224.0,78882,4863,12326.0,244.0,81723,7439,12330.0,244.0,88189,5367,,,
Littleton,Jefferson,80123,18497.0,334.0,73667,2554,18542.0,355.0,72508,2089,18433.0,326.0,72932,2220,18660.0,333.0,73133,2182,18903.0,372.0,74150,2119,402R-00380,7870 West Quincy Avenue,Denver
Littleton,Douglas,80124,6895.0,278.0,95692,5752,6946.0,277.0,98687,3752,7303.0,278.0,100447,5418,7665.0,239.0,101339,4030,8051.0,276.0,102656,6859,,,
Littleton,Douglas,80125,3400.0,181.0,108962,8703,3366.0,199.0,105806,6200,3521.0,176.0,103835,7581,3776.0,125.0,101531,7942,3865.0,138.0,108669,8188,,,
Littleton,Douglas,80126,13723.0,297.0,110168,2897,13978.0,308.0,112455,5041,14312.0,327.0,114094,4673,15179.0,299.0,112520,4902,15831.0,342.0,113654,5486,,,
Littleton,Jefferson,80127,16285.0,291.0,97716,3791,16568.0,294.0,97872,3444,16284.0,312.0,101089,2567,16168.0,241.0,101493,3002,16242.0,242.0,103270,2752,402R-00590,4550 South Kipling Street #4,Denver
Littleton,Jefferson,80128,14128.0,242.0,79667,3398,14216.0,282.0,79185,3031,14076.0,260.0,79549,3337,14065.0,256.0,80816,2398,13925.0,214.0,82887,2494,,,
Littleton,Douglas,80129,9903.0,214.0,102131,4615,9953.0,211.0,102495,4541,9938.0,186.0,105383,4624,10659.0,202.0,104169,3328,11045.0,180.0,105264,4379,,,
Littleton,Douglas,80130,10290.0,271.0,103876,6309,10303.0,219.0,105817,4694,9917.0,252.0,107200,5758,10373.0,252.0,107307,5431,10417.0,286.0,113669,5959,,,
Louviers,Douglas,80131,51.0,47.0,12198,43497,53.0,40.0,12366,56290,64.0,39.0,26818,71985,73.0,27.0,61042,47643,104.0,36.0,55417,19783,,,
