Zipcode,Total Population 2012,Total Population 2012 Margin of Error,Total Unemployment 2012,Total Unemployment 2012 margin of Error,Age Group 16-19 2012,Age Group 16-19 2012 Margin of Error,Age Group 16-19 2012 Unemployment,Age Group 16-19 2012 Unemployment Margin of Error,Age Group 20-24 2012,Age Group 20-24 2012 Margin of Error,Age Group 20-24 2012 Unemployment,Age Group 20-24 2012 Unemployment Margin of Error,Age Group 25-44 2012,Age Group 25-44 2012 Margin of Error,Age Group 25-44 2012 Unemployment,Age Group 25-44 2012 Unemployment Margin of Error,Age Group 45-54 2012,Age Group 45-54 2012 Margin of Error,Age Group 45-54 2012 Unemployment,Age Group 45-54 2012 Unemployment Margin of Error,Age Group 55-64 2012,Age Group 55-64 2012 Margin of Error,Age Group 55-64 2012 Unemployment,Age Group 55-64 2012 Unemployment Margin of Error,Age Group 65-74 2012,Age Group 65-74 2012 Margin of Error,Age Group 65-74 2012 Unemployment,Age Group 65-74 2012 Unemployment Margin of Error,Age Group 75+ 2012,Age Group 75+ 2012 Margin of Error,Age Group 75+ 2012 Unemployment,Age Group 75+ 2012 Unemployment Margin of Error
67879,1020,80,1.2,1.6,87,38,0,33.8,30,18,0,48.3,201,49,2.1,2.8,244,40,2,4.6,166,37,0,16.1,128,31,0,44.6,164,35,0,86.7
80002,15071,757,7,1.8,703,239,23.5,15.9,1518,340,11.2,6.3,5520,592,5.3,2.9,3028,406,5.7,2.8,2232,345,10.1,3.7,1313,227,0,11.8,757,167,0,25.2
80003,27595,719,9.8,1.7,1699,319,28.1,8.9,2553,379,8,4.1,9888,551,9.5,2.2,5580,454,6.4,2.4,3972,412,11.9,4.1,2233,290,6.6,8.1,1670,229,5.9,27
80004,28369,707,8,1.3,1595,227,22.2,8.6,1958,331,13.3,5.5,8213,453,6.3,1.9,5837,411,7.3,2.5,4787,363,6.7,2.7,2737,200,8.3,6.1,3242,266,0,17.9
80005,21325,574,6.3,1.1,1635,262,29.1,11.8,1277,240,8.7,5.9,6349,310,4.5,2,4825,340,6.5,2.9,3836,303,3.7,2,2162,222,4.1,3.9,1241,228,11.5,20
80007,5450,271,5.8,2.3,443,154,7,9.7,220,82,23.3,20.9,1429,110,4.2,3.1,1315,148,1.3,2,1283,188,8.4,5.8,530,96,5.2,5.7,230,80,45.9,36.8
80010,29832,1094,14.2,1.8,2453,319,30.3,9.2,3383,455,16.4,4.9,13738,887,12.3,2.6,4352,462,13.1,4,3288,348,14.7,5.4,1317,206,12.3,9.6,1301,205,9.3,13.1
80011,34520,1152,13.2,1.6,2683,361,31.8,12.7,3871,459,13,4.1,13802,763,12.4,2.3,5676,476,11.9,3.3,4221,467,10.2,3.6,2302,269,16.5,11,1965,261,6.5,10.1
80012,34945,1061,10.5,1.2,2272,315,48.3,10.9,3351,518,15.1,4.7,13226,703,7.9,2,6079,484,6.9,2.6,5061,335,6.6,3,2769,303,12.1,8.1,2187,250,0,23.3
80013,52718,1205,8.8,1.1,3878,402,34.4,6.3,4364,485,11.8,4.7,21939,911,8,1.7,10423,599,5.9,1.6,8077,457,5.4,2.2,2850,262,7.9,4.8,1187,216,0,35.5
80014,29954,1004,7.8,1.3,1413,302,32.7,14.6,2057,406,9.9,5.7,10042,795,6.6,2.1,4447,479,5.5,2.2,4951,463,7.8,2.4,3309,326,6.1,4.6,3735,383,16.2,19.5
