Zipcode,Total Population 2012,Total Population 2012 Margin of Error,Total Unemployment 2012,Total Unemployment 2012 margin of Error,Age Group 16-19 2012,Age Group 16-19 2012 Margin of Error,Age Group 16-19 2012 Unemployment,Age Group 16-19 2012 Unemployment Margin of Error,Age Group 20-24 2012,Age Group 20-24 2012 Margin of Error,Age Group 20-24 2012 Unemployment,Age Group 20-24 2012 Unemployment Margin of Error,Age Group 25-44 2012,Age Group 25-44 2012 Margin of Error,Age Group 25-44 2012 Unemployment,Age Group 25-44 2012 Unemployment Margin of Error,Age Group 45-54 2012,Age Group 45-54 2012 Margin of Error,Age Group 45-54 2012 Unemployment,Age Group 45-54 2012 Unemployment Margin of Error,Age Group 55-64 2012,Age Group 55-64 2012 Margin of Error,Age Group 55-64 2012 Unemployment,Age Group 55-64 2012 Unemployment Margin of Error,Age Group 65-74 2012,Age Group 65-74 2012 Margin of Error,Age Group 65-74 2012 Unemployment,Age Group 65-74 2012 Unemployment Margin of Error,Age Group 75+ 2012,Age Group 75+ 2012 Margin of Error,Age Group 75+ 2012 Unemployment,Age Group 75+ 2012 Unemployment Margin of Error
80015,47258,894,7.5,1,4003,326,32.7,7.3,3100,412,13.1,4.8,19336,735,6.6,1.4,10386,525,4.6,1.6,6915,411,5.4,2,2213,270,8.3,7.5,1305,213,0,64.2
80016,29295,686,5,1.1,2050,329,24.2,9.2,1894,326,4.5,3.2,11273,552,3.5,1.4,6452,452,5.3,2.6,4059,399,3.8,1.6,2646,254,4.8,3.9,921,195,0,37
80017,25304,1007,10.7,1.7,2048,387,43.8,14.9,2747,479,14.4,6.6,10725,650,8.1,2.3,4565,480,7.5,3.7,3353,359,10.8,4,1418,190,6.2,7.1,448,139,0,64.2
80018,7191,676,4.9,2.8,349,154,0,30.4,409,195,15.8,20.7,3338,447,4.4,3.9,1458,304,4,5.3,1124,245,5.2,5,354,155,0,20.2,159,103,-,**
80019,1437,293,8,3.7,127,107,0,44.4,97,92,19.6,20.6,712,200,9.9,5.8,374,146,4.3,7,74,51,0,37.3,6,11,-,**,47,36,0,82.3
80020,37198,707,6.4,1,2521,264,16.1,8.5,3055,318,11.7,5,14023,482,5.3,1.5,7694,396,3.6,1.5,5792,388,9.1,3.2,2332,234,4.9,4.1,1781,169,8.5,11.4
80021,24722,619,6.8,1.2,1563,180,16.2,9.1,2709,408,8.2,3.5,9504,550,6.5,1.9,5013,424,6.1,2.3,3343,310,5.9,3,1225,168,1.7,3,1365,202,0,31.1
80022,30164,864,11.1,2.2,2183,360,33.9,9.9,2612,368,18.6,7.4,13294,602,8,2.6,4826,482,13,3.8,3808,411,7.8,3.8,2030,244,4.3,4.1,1411,189,0,59.2
80023,10652,655,3.7,1.8,505,221,27.1,24.3,513,164,10.5,11.4,3912,428,3,2.2,2197,400,2.2,2.6,1700,312,3.8,5.2,1161,255,0,18.6,664,174,0,88.8
80024,272,176,44.1,20.8,36,56,47.2,6.7,32,52,100,54.4,148,100,20.4,37.7,22,34,100,65.6,21,25,0,67.2,13,22,-,**,0,12,-,**
80025,179,101,0,21,0,12,-,**,0,12,-,**,0,12,-,**,99,105,0,29,61,52,0,57.1,19,29,0,70.6,0,12,-,**
80026,21040,522,8.3,1.5,1135,242,17.8,12.9,1544,323,12.6,6.6,7892,442,5.2,2.1,4324,332,8.1,3.3,3653,359,13,3.6,1459,211,9,9.9,1033,263,0,26.5
80027,24267,346,4.3,1.1,1653,253,11.5,6.9,1850,312,8.9,6.5,9133,366,2,1,5758,309,5,2.1,3615,358,6,2.7,1308,180,1.4,2.7,950,204,-,**
80030,11862,673,14.2,3.1,730,209,22.7,17,1132,329,21.3,11.3,4179,449,11.2,4.2,2274,331,16.4,6.5,1627,248,12.8,4.9,892,168,0,16.1,1028,190,0,72.5
80031,26100,795,7.4,1.3,1544,296,27.5,10.8,1952,372,6.9,4.1,10015,590,7.5,1.9,4351,421,4.9,1.9,4584,395,3,1.5,2367,225,19.3,9.7,1287,219,9.8,14.5
80033,20559,515,10.1,2.4,1215,248,41.2,16.8,1597,308,17.2,10.5,6136,466,7.6,2.6,4031,348,6.8,3.5,3186,314,9.7,4.2,1770,238,9.2,7.1,2624,353,0,24.6
80045,306,110,8,10.2,0,12,-,**,49,29,0,72.5,210,95,3.5,5.2,11,17,-,**,36,36,33.3,50.3,0,12,-,**,0,12,-,**
80101,157,52,2.8,4.3,8,13,-,**,13,15,0,100,30,20,0,59.2,11,13,0,100,50,27,7.1,11.6,31,20,-,**,14,18,-,**
80102,3764,403,9.6,3.3,328,128,15.7,19.7,127,88,46.7,35.6,1450,228,9.7,4.7,841,168,7.1,4.3,696,155,2.6,2.9,212,86,14,21.5,110,51,-,**
80103,1820,239,6.6,3.3,87,45,31,40.4,152,86,0,21,524,111,4.8,7.1,388,117,14.2,8.9,393,109,1.7,2.7,227,71,3.9,7.2,49,31,0,100
80104,20188,610,7.7,1.6,1381,278,5.6,4.5,1261,287,13.9,8.4,8146,366,7.9,2.5,4368,357,5,2.9,2879,320,9.9,4.4,1511,151,0,8,642,153,26,26.7
80105,853,147,10,5,31,24,0,61.6,29,25,28,40.9,269,86,3.8,4,159,56,14.8,11.6,188,60,15.1,14.6,100,39,0,72.5,77,31,-,**
80106,3684,506,10.6,3.3,319,124,23,23.1,222,93,19.6,16.7,1040,269,7.4,4.7,923,199,13,6.5,792,183,7.9,6.3,183,67,2.9,6.3,205,105,-,**
80107,8823,442,7.1,2.8,632,173,28.3,28,398,114,11.8,16.5,2388,217,7,4,2487,224,3.8,2.9,1904,235,7.6,4.3,756,111,0,21.5,258,77,0,100
80108,16266,704,5.5,1.4,1302,286,17,10.5,588,188,6.4,5.7,5424,354,3.7,1.6,4008,360,6.7,3.2,2823,321,1.6,1.8,1586,176,10.1,8.3,535,163,0,38.8
80109,12509,513,4.8,2.1,747,200,0,9.4,626,266,31.8,22.5,5780,348,1.7,1.4,2638,329,7.4,3.7,1660,322,0.9,1.6,626,172,10.7,16.3,432,150,-,**
80110,16532,653,10.4,1.9,877,216,33.5,17.1,1324,194,14.2,5.2,6744,453,8.8,2.6,2999,359,12.6,5.3,2145,285,4.4,2.5,1272,213,5.9,6.8,1171,169,0,35.8
80111,22613,588,4.6,0.9,1615,241,14,9.4,1330,329,10,4.8,7551,436,3.4,1.2,5018,401,4.3,1.7,4185,366,3.6,1.9,1678,201,7.6,6.5,1236,240,0,14.6
80112,23348,731,5.1,1.5,1805,271,29.6,16.3,1942,318,6.8,4.9,8577,524,3.5,1.5,4529,360,4.7,3,3797,331,4.4,2,1670,197,0.9,1.7,1028,160,0,33.2
80113,16757,558,7.8,1.5,801,153,21.1,14,1291,267,16,9.1,5588,367,6.7,2.3,3277,324,5,2.2,2796,269,7.2,3.3,1362,172,12.6,8.6,1642,266,4.8,7.6
80116,3095,323,5.5,3.2,205,80,0,39.7,89,66,0,35.5,387,128,5.8,9.1,914,181,3.9,3.9,895,200,11,6.7,426,145,0,17.2,179,75,0,64.2
80117,2217,272,11.9,4.1,127,62,36.1,42.4,68,42,25.5,32.6,594,126,16.8,9.8,554,118,6.3,4.5,478,136,9.3,6.2,250,76,0,43.5,146,67,0,100
80118,4254,384,6.4,2.6,278,107,0,41.9,164,71,1.9,3.9,812,171,1.4,2.1,1268,228,5.2,4.5,1119,218,13.8,6.8,425,109,0,30.4,188,98,-,**
80120,23647,493,8.7,1.8,1597,253,27.4,10.9,1383,332,15.4,7.7,7354,411,7.6,2.5,4478,309,4.9,2.1,3779,345,8.2,3,2470,236,13.1,9.4,2586,250,0,23.5
80121,14469,437,8,2,702,160,24.8,19.4,722,188,16.1,15.6,3871,312,8.3,3.4,2891,302,2.2,1.4,2721,295,11.4,5.9,1969,225,3.3,3.8,1593,202,2.9,6.1
80122,24071,564,6.6,1.3,1583,217,33,12.4,1206,219,7.3,5.2,6735,381,7.1,2.4,5519,365,2.3,1.3,4575,347,5,2.1,2295,239,8.5,5.8,2158,248,13,13.9
80123,35518,819,6.1,1,1915,284,23.1,10.8,2537,380,8.7,3.8,12057,518,4.8,1.5,6855,508,6.8,2.7,6346,443,4.4,2,3419,304,4,3.7,2389,268,0,17.2
80124,13728,499,4.7,1.2,879,202,12.5,12,957,242,6.4,4.6,5904,364,3.7,1.8,2833,283,2.2,1.6,1924,248,7.3,3.6,896,129,13.4,11.4,335,112,0,42.7
80125,7267,386,5.8,2.2,437,156,31.5,29.1,143,80,31.1,22.8,3014,322,2.1,1.7,1688,261,2.6,2.3,1149,200,17.8,9.8,582,143,4.3,8.1,254,91,0,70.6
80126,28158,713,5,1.1,2230,276,20.7,9.2,1193,225,12.8,8.2,10958,621,2.4,1.1,7137,431,4.8,1.7,4389,394,5.7,2.4,1360,208,1.5,2.3,891,171,0,37.3
80127,33717,677,5.5,0.8,2669,292,32.2,8.1,1884,297,6,4.6,10592,464,5,1.5,8765,373,1.6,0.8,6140,403,5.7,1.7,2364,230,3.6,4.3,1303,207,0,36.7
80128,28597,643,8.1,1.5,2061,276,18.9,8.9,2133,364,21.2,6.9,9009,480,6.7,2.2,6694,396,4.2,1.6,4888,409,9.8,3.7,2363,181,1.7,2.3,1449,165,0,22.2
80129,20155,570,4.8,1.3,1428,251,24.5,14.9,1040,225,7.9,7.8,8757,416,3.8,1.6,4195,315,4.8,2.5,2636,275,0.7,1.1,1146,204,10.2,11.8,953,213,0,26.3
80130,20248,609,4.7,1.1,1208,238,27.3,16,855,220,2.7,4.3,9397,491,3.8,1.5,3902,369,5.1,2.5,2603,319,4,2.3,1515,210,1.6,2.4,768,144,12.7,20.4
80131,113,106,0,70.6,0,12,-,**,0,12,-,**,7,10,-,**,14,21,0,100,35,46,0,100,45,56,0,100,12,19,-,**
80132,15000,680,5.7,1.5,1263,228,10.8,8.1,610,191,0,7.1,3772,304,6.5,3.7,4256,405,4.8,2.1,2971,337,7.4,4,1359,294,0,7.8,769,213,0,48.1
80133,1601,223,4.6,2.9,44,42,0,100,89,69,0,40.4,673,206,1.6,2.5,355,132,5.2,5.2,227,87,15.3,15.1,137,88,0,38.8,76,62,-,**
80134,40532,934,5.2,0.9,2883,374,13.6,6.4,2096,382,10.7,5.1,18335,605,3.6,1.1,8967,512,4.5,1.5,5193,389,7,3.2,1899,257,9.2,9,1159,175,12.7,19.4
80135,2944,383,11.6,4.9,269,155,44.4,34.6,80,55,0,45.4,558,149,9.1,9.7,729,171,8.8,6.4,766,180,10.2,6.3,304,90,0,49.3,238,76,100,100
80136,3690,379,5.7,2.9,328,113,22.5,22.3,137,89,0,23.6,1380,211,4.6,5.1,772,197,4.5,5,588,150,10.2,6,327,132,0,33.5,158,69,0,100
80137,870,284,5.6,5,169,87,28.1,24.9,34,46,14.7,45.3,125,71,0,26,233,152,0,14.3,150,87,10,13.3,102,59,0,59.2,57,38,-,**
80138,22004,759,4.8,1.1,1519,271,12.3,8,1346,347,14.2,8.9,8032,417,3.7,1.5,5484,448,3.2,1.6,3333,388,4.3,3,1544,199,5.8,5.2,746,158,0,54.4
80202,10124,693,6.2,2.7,194,118,38.1,26.4,1753,476,0,2.4,4947,654,3.7,2.3,1140,252,16.5,15,1166,172,17.7,14,601,148,22,25.7,323,104,0,61.6
80203,18485,822,4.7,1.3,171,113,8.4,16,3166,423,1.8,1.7,10324,736,4.8,1.8,1893,311,4.2,3.2,1584,283,8.5,5.3,916,150,15.3,20.6,431,118,0,48.1
80204,23291,986,10.9,2,1740,394,21.4,11.8,2835,413,13.9,5.5,10720,639,9.2,2.7,2832,336,13.3,4.4,2452,305,7.3,4.2,1587,206,8.1,9.3,1125,176,32.3,30.9
80205,22235,1021,12.4,2,1028,236,33.7,13.1,1986,416,19.3,7.5,10877,589,8.4,2.2,3687,509,17.1,4.7,2327,296,16.4,7.5,1208,209,0,12.6,1122,146,23.8,24.6
80206,18743,631,6.1,1.5,341,117,15.8,22.5,1757,322,3.4,2.4,8427,537,5.3,1.8,2585,326,9.3,4,3006,342,7.6,4.2,1638,283,5.6,7.4,989,189,0,27.9
80207,15966,694,11,1.8,763,187,37.5,21.4,1109,240,14.8,8.2,6485,414,10.5,2.6,2591,289,12.2,5.1,2298,294,5.3,3.2,1421,202,22,19.2,1299,194,0,33.5
80209,19088,755,6.6,1.8,482,177,6.6,10.7,1043,262,8.6,7.6,8757,552,6.3,2.2,2903,370,9.6,4.3,3251,374,3.5,2.4,1281,221,6.8,6.4,1371,227,0,42.7
80210,29964,946,7.3,1.5,2576,383,23.3,14.5,4108,567,6.5,3.2,11973,658,6.3,1.8,4152,358,7.9,3,3787,319,5.4,2.4,1677,257,6.2,5.3,1691,189,0,49.9
80211,27035,1048,8.7,1.4,1354,306,24.7,11.7,1964,471,24,9.9,13523,728,6.7,2,3631,423,8,3.6,3395,394,5.1,2.7,1609,230,9.3,6.9,1559,213,0,36.4
80212,15406,908,7.8,2.4,513,199,41.2,26.1,937,249,13.1,11.3,6714,620,4.6,1.9,2407,382,11.2,5.4,2108,321,5.1,3.2,1529,270,7.3,9.6,1198,226,17.4,26.6
80214,19472,988,11.2,2.2,964,332,50.8,21.7,1855,400,7.5,6.4,7966,626,7.9,3.4,3330,486,16.5,5.1,2406,347,10.2,6,1262,250,0,10.8,1689,252,0,56.2
80215,14748,609,11.7,2.2,937,239,31.5,19.5,1346,374,27.8,10.7,3886,412,8,3,2655,252,7.2,3,2782,249,10.9,4.7,1504,211,5.7,6.7,1638,195,3.9,6
80216,8024,666,15.6,5,806,170,19.8,13.3,939,207,16.4,9.4,3482,446,13,5.9,1200,224,20.7,9.3,922,151,16.6,11.5,413,114,14.5,23.1,262,100,0,100
80218,16916,694,6.8,1.8,369,159,7.3,13.1,1720,340,10.3,6.5,8637,623,5.5,2.4,2140,331,6.6,4.2,2293,300,7.8,4.3,924,147,18.5,12.2,833,165,0,57.1
80219,44190,1593,12.6,1.4,3736,439,28.9,10.4,4585,612,16.6,5.3,18600,1053,12.3,1.9,7048,589,9.5,2.9,4842,493,9.2,3.4,2819,284,1.2,1.9,2560,283,10.9,11.5
80220,27055,764,8.1,1.5,1403,300,41.4,17.5,2451,460,19.6,7.6,11576,689,5,1.4,4418,412,9,3.9,4105,382,3.5,2.4,1770,223,1.1,2.3,1332,236,0,33.7
80221,30157,1165,12,1.4,2287,404,29.2,8.3,3126,501,17.9,6.8,11597,780,10.6,2,5256,526,9.3,2.9,3756,348,6.7,2.8,2056,256,22.7,13.8,2079,271,0,31.9
80222,16628,777,9.9,1.8,853,243,40.3,17.9,1731,501,9.9,5.9,6028,482,9,2.4,2714,270,9.9,3.9,2358,257,5.9,3.8,1170,160,4.8,5.2,1774,237,0,35.5
80223,12893,838,11.7,2.5,902,222,28.5,15.9,1081,275,17.5,10.2,5547,549,7.9,3,2114,315,16.6,8.1,1714,284,11.2,5.9,896,202,6.7,8.6,639,149,15.4,25.3
80224,13424,639,7.5,2.4,363,146,20.3,24.6,635,206,13.6,12.8,4672,544,7.7,4.1,1934,255,7.1,5.6,2288,301,4.1,2.9,1589,214,9.8,7.6,1943,216,0,18.4
80226,25669,830,8,1.7,2026,307,37,10.1,2197,395,10.1,5.2,9770,704,6.4,2.2,3756,405,5.7,2.5,3423,339,6.3,3,2122,242,1.2,2.4,2375,277,5.2,10.1
80227,27662,1079,8.3,1.4,1834,368,17.2,9.9,2738,382,12.2,5.3,8969,685,8,2.1,5061,452,4.9,1.8,4339,392,8.8,2.8,2770,234,6.3,3.7,1951,214,6.9,11.8
80228,25066,714,7.5,1.2,1419,221,17.3,8.8,2343,400,14.1,5.7,7793,499,5.1,1.8,5608,383,6,2.3,4053,416,8.2,3.2,2379,257,13.3,7.7,1471,209,0,37
80229,36481,1033,10.1,1.6,2641,354,25.1,8.8,3793,424,13.9,4.7,16073,784,7.5,1.6,6209,493,11.3,3.7,4160,403,9.2,4,2001,225,17.2,13.5,1604,229,19.4,26.3
80230,6043,376,3.2,1.9,307,142,0,16.8,411,159,3,4.9,3026,356,3.5,2.8,983,189,2.6,3.8,743,179,0,5.7,260,101,21.7,23.2,313,92,0,100
80231,27411,946,6.4,1.4,1214,347,23.4,18.5,2062,396,7,4.1,12581,903,5.6,1.9,4368,679,4.2,3,3674,379,7.9,3.6,1793,232,13.1,9.5,1719,310,0,26.9
80232,17222,585,9.2,1.9,799,187,27.6,14.6,1307,257,17.9,8.9,6119,393,8.6,2.3,2799,328,5.2,3,2817,262,7.8,4.7,1770,209,6,6.8,1611,225,28.8,30.9
80233,35178,904,8.9,1.2,2575,393,30.4,8.7,3444,454,14.6,5.9,14628,689,8.6,2,6174,504,3.9,1.7,4498,491,5.2,2.7,1943,253,8.4,9.8,1916,289,0,39.1
80234,20133,741,8.6,1.8,1361,274,30.9,14.5,1890,386,7.4,5.9,8356,503,6.7,2.2,3730,379,8.3,3.2,2624,380,6.5,4.2,1335,167,20.5,11.5,837,158,38.9,49.1
80235,7698,490,8.6,2.6,466,156,18.1,21.5,706,181,10.1,8.2,3172,386,8.4,4.4,1355,184,8.6,5.3,944,167,4.1,5.2,643,108,16.2,13.5,412,120,0,74.6
80236,13437,747,8.3,2.3,872,205,8.3,8.5,1332,332,11.6,9.4,4986,511,5.5,2.5,2317,341,12.1,4.9,1664,239,10.4,5.8,1048,230,0,26,1218,186,0,40.1
80237,14984,579,4.6,1.4,488,204,4.3,7.9,1179,283,1,1.5,5785,535,3.6,1.9,2351,284,8.4,4.5,2207,291,5.4,3.5,1251,226,5.2,5.7,1723,201,0,16
80238,6902,379,3.8,1.6,59,49,0,68.8,82,70,36.4,46.1,5169,352,3,1.6,772,198,0,4.8,467,132,12.3,9.4,266,107,24.2,23.2,87,54,-,**
80239,28078,1075,13.3,1.9,2860,409,42.2,10.7,2760,397,19.4,6.3,12618,774,10.9,2.4,4648,466,10.5,3.3,3064,372,6.6,3.8,1169,174,9,10.7,959,200,0,37
80241,23778,837,6.1,1.3,1704,354,18.5,12.3,1987,316,12,7,9602,498,5,1.5,5072,394,5.6,2.4,3233,365,2.6,1.8,1455,245,12.8,12.7,725,208,0,36.4
80246,11108,462,6.7,1.9,382,146,21.9,24.6,1569,267,3.9,3.3,5145,475,4.6,1.8,1671,301,16.1,8.2,1085,231,5.3,5.7,712,184,0,15,544,148,0,82.3
80247,21535,862,7.1,1.6,1022,277,42,22.7,2178,333,7.5,4.9,8762,668,6.3,2.3,2825,351,5.7,2.9,2452,327,3.7,2.9,2008,310,5.6,5.1,2288,250,7,10.7
80249,17474,1029,7.3,2.4,1188,317,30.7,20.6,1272,380,16.3,9.9,8525,542,5,2.3,2866,324,6.4,4.4,2270,397,8.1,6.5,772,184,0,14.4,581,426,0,37.9
80260,23305,944,10,2.1,1711,379,32.7,16.6,2586,472,12.5,5.8,9164,646,6.8,2,3910,391,11.7,5.2,2470,306,7.7,4,2068,258,7.7,7.2,1396,206,20.5,20.7
80264,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
80290,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
80293,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
80294,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
80301,20123,676,5.9,1.3,1041,206,42.7,20,2084,368,7.8,4.8,7513,498,5.4,2.1,3892,309,5.9,2.8,3076,343,3.3,2.5,1539,216,3.2,5,978,195,0,27.3
80302,24843,917,8.8,1.7,2610,406,33.9,8.3,8673,776,12.1,3.7,6216,454,5.3,2.3,2405,306,4.2,3,2607,282,4.9,2.9,1185,179,1.6,2.6,1147,172,0,30.1
80303,20386,724,4.2,1.2,1102,272,19.6,15.1,4891,521,5.5,3.1,6207,576,2.1,1.2,2514,305,4.4,2.7,2433,287,3.8,2.4,1593,187,2.7,4.5,1646,243,0,62.8
80304,21030,730,4.6,0.9,1017,254,20.1,15.6,1852,402,5.5,3.5,8000,486,4.1,1.5,3912,403,2.7,1.5,3615,281,6.4,2.6,1623,236,2.4,4.6,1011,217,0,28.8
80305,14865,546,8.1,1.7,996,283,24.4,13.9,3060,438,12.6,4.7,4823,373,5.8,3.2,2273,225,5.4,2.8,1913,221,8,3.8,846,129,0,10.6,954,157,0,39.4
80310,5953,694,33.3,6.5,5178,631,40.2,7.8,726,228,6.8,8,27,30,0,61.6,22,35,0,65.6,0,17,-,**,0,17,-,**,0,17,-,**
80401,31721,693,6.5,1.2,2672,388,19.7,7.2,2835,359,10,5.3,9473,538,5.5,1.9,5802,431,4.8,2,5688,493,6.4,2.4,3107,277,0.8,1.4,2144,288,7.7,8.7
80403,15208,718,6.4,1.9,884,179,35.1,20.8,782,206,22.2,14.2,4713,443,4.2,2.2,3632,375,2.6,2.4,3094,368,5.7,3.4,1202,243,14.7,12.6,901,178,0,46.4
80419,259,32,-,**,11,17,-,**,19,17,-,**,180,43,-,**,37,26,-,**,12,19,-,**,0,12,-,**,0,12,-,**
80420,590,179,1.2,1.5,32,31,0,100,40,45,0,48.7,307,128,2,2.8,108,72,0,27.1,85,41,0,44,18,4,0,72.5,0,12,-,**
80421,7184,448,10.2,3.3,560,110,14.5,13.3,302,84,49.6,17.8,1794,236,8.2,5.9,2178,224,5.3,3.2,1446,224,13.3,7.4,653,153,0,24.6,251,95,0,92.8
80422,3580,274,6.6,3.5,147,61,27.6,44.7,106,82,0,30.9,1153,185,7.9,5.6,906,170,4.6,6.6,741,178,4.3,4.7,407,132,26.2,34.2,120,62,0,100
80423,81,62,33.3,45.9,7,11,-,**,3,10,0,100,16,24,0,82.3,17,20,100,100,17,15,46.2,53.8,21,34,-,**,0,12,-,**
80424,7619,574,5.9,2.4,236,107,70.1,44.3,722,273,8.4,7.9,3551,434,2.8,2.7,1038,228,1.3,1.5,1106,271,9,9.2,799,204,20.6,21.6,167,97,0,55.3
80425,133,113,0,30.9,0,12,-,**,0,12,-,**,18,27,0,100,11,17,-,**,64,64,0,42.3,40,52,0,57.1,0,12,-,**
80426,213,168,3.6,7.7,0,12,-,**,44,63,0,46.4,45,58,0,45.9,73,77,0,37.3,23,28,50,50,12,14,-,**,16,18,-,**
80427,531,164,4.9,5.2,15,30,37.5,62.5,23,26,0,64.2,235,103,1.4,2.9,107,66,0,29.9,118,59,22.7,29.2,33,29,0,60.4,0,12,-,**
80428,385,153,0,11.9,20,21,-,**,13,25,0,85.4,216,117,0,18,72,51,0,36.1,35,28,0,79.5,0,12,-,**,29,43,-,**
80432,23,27,0,76.9,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**,16,24,0,76.9,0,12,-,**,7,11,-,**
80433,7149,414,2.9,1.3,471,172,9,10,158,65,6.2,9.6,2035,294,1.1,1.2,1751,215,3,2.3,1797,223,3.9,2.5,614,104,4,7.1,323,96,0,57.1
80434,48,21,0,48.7,0,12,-,**,0,12,-,**,16,14,0,76.9,7,9,0,100,10,6,0,97.3,12,12,0,100,3,5,-,**
80435,6961,712,5.4,2.8,421,184,0,12.2,845,334,16,10.6,2999,437,2.3,3,1411,277,4.4,3.5,820,269,8.5,6.8,340,126,22.9,28.8,125,76,0,46.4
80436,526,178,9.4,10.2,38,46,0,49.9,0,12,-,**,77,72,0,34.6,166,97,15.7,24.4,139,94,0,28.5,106,85,32.6,24.6,0,12,-,**
80438,269,85,1.6,2.7,24,19,0,70.6,9,12,60,60,66,37,0,39.7,54,28,0,43.5,85,42,0,40.4,21,18,-,**,10,12,-,**
80439,18861,636,6.8,1.6,1296,231,8.9,6.5,717,196,23.6,12.8,3980,369,6.1,2.9,4778,361,4.7,2.4,4604,400,6.5,2.7,2333,221,10.5,6,1153,198,0,22.6
80440,1943,272,7,5.2,69,39,0,52,132,81,35,36.8,743,181,0.3,0.6,553,135,0,7.6,303,96,26.8,23.5,62,48,0,46.4,81,84,-,**
80442,2292,643,2.5,2.8,54,56,0,41.9,56,48,35.7,60.7,1035,404,0,4.7,303,107,5.3,8.6,548,315,1.6,2.4,278,166,0,17.6,18,26,-,**
80443,2823,230,6.2,4,13,16,0,100,216,123,0,17.3,1384,209,8.8,6,452,154,1.7,2.9,438,147,0,10.3,272,110,31.6,35.5,48,46,0,76.9
