City_x,County,Zipcode,Total Population 2014,Total Population 2014 Margin of Error,Total Unemployment 2014,Total Unemployment 2014 margin of Error,Age Group 16-19 2014,Age Group 16-19 2014 Margin of Error,Age Group 16-19 2014 Unemployment,Age Group 16-19 2014 Unemployment Margin of Error,Age Group 20-24 2014,Age Group 20-24 2014 Margin of Error,Age Group 20-24 2014 Unemployment,Age Group 20-24 2014 Unemployment Margin of Error,Age Group 25-44 2014,Age Group 25-44 2014 Margin of Error,Age Group 25-44 2014 Unemployment,Age Group 25-44 2014 Unemployment Margin of Error,Age Group 45-54 2014,Age Group 45-54 2014 Margin of Error,Age Group 45-54 2014 Unemployment,Age Group 45-54 2014 Unemployment Margin of Error,Age Group 55-64 2014,Age Group 55-64 2014 Margin of Error,Age Group 55-64 2014 Unemployment,Age Group 55-64 2014 Unemployment Margin of Error,Age Group 65-74 2014,Age Group 65-74 2014 Margin of Error,Age Group 65-74 2014 Unemployment,Age Group 65-74 2014 Unemployment Margin of Error,Age Group 75+ 2014,Age Group 75+ 2014 Margin of Error,Age Group 75+ 2014 Unemployment,Age Group 75+ 2014 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80010,30762.0,1014.0,13.6,1.8,2545.0,316.0,24.5,9.2,3536.0,437.0,19.1,4.8,14011.0,679.0,12.0,2.3,4648.0,354.0,12.3,3.7,3345.0,361.0,10.5,3.7,1377.0,196.0,13.1,7.9,1300.0,198.0,17.8,24.4,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,30762.0,1014.0,13.6,1.8,2545.0,316.0,24.5,9.2,3536.0,437.0,19.1,4.8,14011.0,679.0,12.0,2.3,4648.0,354.0,12.3,3.7,3345.0,361.0,10.5,3.7,1377.0,196.0,13.1,7.9,1300.0,198.0,17.8,24.4,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,30762.0,1014.0,13.6,1.8,2545.0,316.0,24.5,9.2,3536.0,437.0,19.1,4.8,14011.0,679.0,12.0,2.3,4648.0,354.0,12.3,3.7,3345.0,361.0,10.5,3.7,1377.0,196.0,13.1,7.9,1300.0,198.0,17.8,24.4,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,30762.0,1014.0,13.6,1.8,2545.0,316.0,24.5,9.2,3536.0,437.0,19.1,4.8,14011.0,679.0,12.0,2.3,4648.0,354.0,12.3,3.7,3345.0,361.0,10.5,3.7,1377.0,196.0,13.1,7.9,1300.0,198.0,17.8,24.4,402R-00302,"1450 Havana Street, Suites C & D",Aurora
Aurora,Arapahoe,80010,30762.0,1014.0,13.6,1.8,2545.0,316.0,24.5,9.2,3536.0,437.0,19.1,4.8,14011.0,679.0,12.0,2.3,4648.0,354.0,12.3,3.7,3345.0,361.0,10.5,3.7,1377.0,196.0,13.1,7.9,1300.0,198.0,17.8,24.4,402R-00301,10455 East Colfax Avenue,Aurora
Aurora,Adams,80011,34721.0,1093.0,13.7,1.5,2882.0,416.0,38.9,11.9,3974.0,459.0,13.9,3.9,13747.0,704.0,12.2,2.3,5462.0,507.0,13.0,3.4,4391.0,445.0,9.4,3.4,2435.0,234.0,15.3,9.7,1830.0,238.0,15.8,15.2,402R-00290,19201 East Colfax Avenue,Aurora
Aurora,Adams,80011,34721.0,1093.0,13.7,1.5,2882.0,416.0,38.9,11.9,3974.0,459.0,13.9,3.9,13747.0,704.0,12.2,2.3,5462.0,507.0,13.0,3.4,4391.0,445.0,9.4,3.4,2435.0,234.0,15.3,9.7,1830.0,238.0,15.8,15.2,402R-00333,1401 Peoria Street,Aurora
Aurora,Adams,80011,34721.0,1093.0,13.7,1.5,2882.0,416.0,38.9,11.9,3974.0,459.0,13.9,3.9,13747.0,704.0,12.2,2.3,5462.0,507.0,13.0,3.4,4391.0,445.0,9.4,3.4,2435.0,234.0,15.3,9.7,1830.0,238.0,15.8,15.2,402R-00323,719 Billings Street,Aurora
Aurora,Adams,80011,34721.0,1093.0,13.7,1.5,2882.0,416.0,38.9,11.9,3974.0,459.0,13.9,3.9,13747.0,704.0,12.2,2.3,5462.0,507.0,13.0,3.4,4391.0,445.0,9.4,3.4,2435.0,234.0,15.3,9.7,1830.0,238.0,15.8,15.2,402R-00303,14301 East Colfax Avenue,Aurora
Aurora,Arapahoe,80012,36900.0,1039.0,11.9,1.3,2285.0,353.0,48.3,10.4,3690.0,499.0,16.6,5.3,14310.0,720.0,9.9,2,5816.0,482.0,7.8,2.7,5680.0,419.0,9.7,3.6,2773.0,275.0,8.2,5.1,2346.0,236.0,0.0,21.5,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora
