City_x,County,Zipcode,Total Population 2016,Total Population 2016 Margin of Error,Total Unemployment 2016,Total Unemployment 2016 margin of Error,Age Group 16-19 2016,Age Group 16-19 2016 Margin of Error,Age Group 16-19 2016 Unemployment,Age Group 16-19 2016 Unemployment Margin of Error,Age Group 20-24 2016,Age Group 20-24 2016 Margin of Error,Age Group 20-24 2016 Unemployment,Age Group 20-24 2016 Unemployment Margin of Error,Age Group 25-29 2016,Age Group 25-29 2016 Margin of Error,Age Group 25-29 2016 Unemployment,Age Group 25-29 2016 Unemployment Margin of Error,Age Group 30-34 2016,Age Group 30-34 2016 Margin of Error,Age Group 30-34 2016 Unemployment,Age Group 30-34 2016 Unemployment Margin of Error,Age Group 35-44 2016,Age Group 35-44 2016 Margin of Error,Age Group 35-44 2016 Unemployment,Age Group 35-44 2016 Unemployment Margin of Error,Age Group 45-54 2016,Age Group 45-54 2016 Margin of Error,Age Group 45-54 2016 Unemployment,Age Group 45-54 2016 Unemployment Margin of Error,Age Group 55-64 2016,Age Group 55-64 2016 Margin of Error,Age Group 55-64 2016 Unemployment,Age Group 55-64 2016 Unemployment Margin of Error,Age Group 60-64 2016,Age Group 60-64 2016 Margin of Error,Age Group 60-64 2016 Unemployment,Age Group 60-64 2016 Unemployment Margin of Error,Age Group 65-74 2016,Age Group 65-74 2016 Margin of Error,Age Group 65-74 2016 Unemployment,Age Group 65-74 2016 Unemployment Margin of Error,Age Group 75+ 2016,Age Group 75+ 2016 Margin of Error,Age Group 75+ 2016 Unemployment,Age Group 75+ 2016 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80012,38930.0,1042.0,9.8,1.3,2566.0,364.0,31.7,9.5,3970.0,503.0,14.0,5.3,4350.0,434.0,10.0,3.4,3611.0,400.0,11.8,4.6,7268.0,553.0,6.1,2.2,5975.0,503.0,7.0,2.2,2903.0,351.0,7.6,3.7,2915.0,331.0,8.0,4.5,3043.0,320.0,7.1,4.8,2329.0,194.0,16.5,20,402R-00297,350 South Potomac Street,Aurora
Aurora,Arapahoe,80013,55788.0,1256.0,6.3,0.9,3812.0,405.0,21.2,8,4425.0,479.0,11.6,3.6,5333.0,474.0,8.6,3.4,6444.0,565.0,5.7,2.2,10996.0,593.0,4.2,1.5,10352.0,560.0,3.7,1.1,4687.0,385.0,4.8,2.4,3946.0,340.0,3.5,2.3,4157.0,345.0,6.0,4.2,1636.0,212.0,11.4,16.6,402R-00377,19151 East Quincy Avenue,Aurora
Aurora,Arapahoe,80013,55788.0,1256.0,6.3,0.9,3812.0,405.0,21.2,8,4425.0,479.0,11.6,3.6,5333.0,474.0,8.6,3.4,6444.0,565.0,5.7,2.2,10996.0,593.0,4.2,1.5,10352.0,560.0,3.7,1.1,4687.0,385.0,4.8,2.4,3946.0,340.0,3.5,2.3,4157.0,345.0,6.0,4.2,1636.0,212.0,11.4,16.6,402R-00275,16840 East Iliff Avenue,Aurora
Aurora,Arapahoe,80014,32836.0,916.0,6.6,1.1,1549.0,260.0,31.0,13.9,2315.0,431.0,11.4,5,2818.0,331.0,7.6,3,3179.0,413.0,8.2,4.5,5179.0,469.0,4.8,1.8,4671.0,492.0,4.3,1.8,2247.0,324.0,5.2,3.4,2609.0,288.0,4.4,3,4345.0,384.0,1.8,2,3924.0,360.0,6.7,8.8,402R-00296,1901 South Havana Street,Aurora
Aurora,Arapahoe,80014,32836.0,916.0,6.6,1.1,1549.0,260.0,31.0,13.9,2315.0,431.0,11.4,5,2818.0,331.0,7.6,3,3179.0,413.0,8.2,4.5,5179.0,469.0,4.8,1.8,4671.0,492.0,4.3,1.8,2247.0,324.0,5.2,3.4,2609.0,288.0,4.4,3,4345.0,384.0,1.8,2,3924.0,360.0,6.7,8.8,402R-00317,"11002 East Yale Avenue, Unit A",Aurora
Aurora,Arapahoe,80014,32836.0,916.0,6.6,1.1,1549.0,260.0,31.0,13.9,2315.0,431.0,11.4,5,2818.0,331.0,7.6,3,3179.0,413.0,8.2,4.5,5179.0,469.0,4.8,1.8,4671.0,492.0,4.3,1.8,2247.0,324.0,5.2,3.4,2609.0,288.0,4.4,3,4345.0,384.0,1.8,2,3924.0,360.0,6.7,8.8,402R-00579,16821 East Iliff Avenue,Aurora
Aurora,Arapahoe,80014,32836.0,916.0,6.6,1.1,1549.0,260.0,31.0,13.9,2315.0,431.0,11.4,5,2818.0,331.0,7.6,3,3179.0,413.0,8.2,4.5,5179.0,469.0,4.8,1.8,4671.0,492.0,4.3,1.8,2247.0,324.0,5.2,3.4,2609.0,288.0,4.4,3,4345.0,384.0,1.8,2,3924.0,360.0,6.7,8.8,402R-00300,3179 South Peoria Court,Aurora
Aurora,Arapahoe,80015,50320.0,969.0,4.8,0.8,4120.0,427.0,20.3,6.7,3510.0,401.0,9.8,4.2,3849.0,340.0,3.9,2,4484.0,413.0,2.9,1.4,10372.0,552.0,3.1,1.2,10409.0,555.0,3.6,1.2,4716.0,369.0,3.2,1.8,3942.0,335.0,5.0,3,3405.0,252.0,5.3,3.5,1513.0,209.0,3.5,8.1,402R-00364,19005 East Quincy Avenue,Aurora
Aurora,Arapahoe,80015,50320.0,969.0,4.8,0.8,4120.0,427.0,20.3,6.7,3510.0,401.0,9.8,4.2,3849.0,340.0,3.9,2,4484.0,413.0,2.9,1.4,10372.0,552.0,3.1,1.2,10409.0,555.0,3.6,1.2,4716.0,369.0,3.2,1.8,3942.0,335.0,5.0,3,3405.0,252.0,5.3,3.5,1513.0,209.0,3.5,8.1,402R-00305,"4343 South Buckley Road, Unit E",Aurora
Aurora,Arapahoe,80015,50320.0,969.0,4.8,0.8,4120.0,427.0,20.3,6.7,3510.0,401.0,9.8,4.2,3849.0,340.0,3.9,2,4484.0,413.0,2.9,1.4,10372.0,552.0,3.1,1.2,10409.0,555.0,3.6,1.2,4716.0,369.0,3.2,1.8,3942.0,335.0,5.0,3,3405.0,252.0,5.3,3.5,1513.0,209.0,3.5,8.1,402R-00666,19370 East Quincy Avenue,Aurora
Aurora,Arapahoe,80016,36825.0,920.0,3.2,0.6,2745.0,307.0,10.1,5.6,2564.0,311.0,8.1,3.7,2553.0,308.0,5.6,3.9,2709.0,350.0,1.2,1,8128.0,446.0,2.2,0.9,7658.0,472.0,2.5,1.2,2889.0,329.0,2.8,1.9,2208.0,261.0,0.8,1.2,3887.0,313.0,1.5,1.7,1484.0,216.0,5.4,8.1,402R-00304,6260 South Gun Club Road,Aurora
Aurora,Arapahoe,80016,36825.0,920.0,3.2,0.6,2745.0,307.0,10.1,5.6,2564.0,311.0,8.1,3.7,2553.0,308.0,5.6,3.9,2709.0,350.0,1.2,1,8128.0,446.0,2.2,0.9,7658.0,472.0,2.5,1.2,2889.0,329.0,2.8,1.9,2208.0,261.0,0.8,1.2,3887.0,313.0,1.5,1.7,1484.0,216.0,5.4,8.1,402R-00316,14655 East Arapahoe Road,Aurora
Aurora,Arapahoe,80017,26464.0,858.0,7.2,1.5,1557.0,315.0,33.9,12.1,2768.0,472.0,10.9,5.9,2932.0,359.0,4.1,2.5,3259.0,427.0,7.0,3.7,4835.0,407.0,6.7,3.3,4238.0,426.0,5.5,3.3,2362.0,332.0,6.0,3.3,1812.0,283.0,3.5,3,1911.0,299.0,3.4,4,790.0,233.0,57.1,43.8,402R-00307,1712 South Chambers Road,Aurora
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00655,5846 Dahlia Street,Commerce City
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00688,5301 Vasquez Boulevard Unit 101,Commerce City
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00712,5715 Fairfax Street,Commerce City
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00774,5385 Quebec Street,Commerce City
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00577,5844 Dahlia Street,Commerce City
Commerce City,Adams,80022,32457.0,911.0,6.7,1.6,2294.0,306.0,21.8,9.3,2347.0,469.0,16.4,6.3,3378.0,506.0,6.5,5,4418.0,486.0,4.6,3.3,6733.0,545.0,5.4,2.3,4884.0,387.0,3.1,1.5,2683.0,331.0,7.8,4.3,2000.0,329.0,6.2,5,2300.0,287.0,0.0,3.7,1420.0,216.0,0.0,33,402R-00550,5433 Quebec Street,Commerce City
Lafayette,Boulder,80026,23196.0,461.0,4.8,1.3,1605.0,298.0,4.2,4.8,1630.0,368.0,13.0,8.2,1703.0,308.0,2.7,2.8,1979.0,314.0,6.5,4.6,4569.0,429.0,3.1,1.9,4114.0,349.0,4.8,2.3,2204.0,238.0,6.4,3.2,2104.0,304.0,2.5,1.8,2023.0,215.0,2.2,3.4,1265.0,254.0,0.0,14.8,402R-00703,1669 Coal Creek Drive,Lafayette
Lafayette,Boulder,80026,23196.0,461.0,4.8,1.3,1605.0,298.0,4.2,4.8,1630.0,368.0,13.0,8.2,1703.0,308.0,2.7,2.8,1979.0,314.0,6.5,4.6,4569.0,429.0,3.1,1.9,4114.0,349.0,4.8,2.3,2204.0,238.0,6.4,3.2,2104.0,304.0,2.5,1.8,2023.0,215.0,2.2,3.4,1265.0,254.0,0.0,14.8,402R-00215,"400 West South Boulder Road, Suite 2700",Lafayette
Lafayette,Boulder,80026,23196.0,461.0,4.8,1.3,1605.0,298.0,4.2,4.8,1630.0,368.0,13.0,8.2,1703.0,308.0,2.7,2.8,1979.0,314.0,6.5,4.6,4569.0,429.0,3.1,1.9,4114.0,349.0,4.8,2.3,2204.0,238.0,6.4,3.2,2104.0,304.0,2.5,1.8,2023.0,215.0,2.2,3.4,1265.0,254.0,0.0,14.8,402R-00678,1325 South Public Road,Lafayette
Louisville,Boulder,80027,25672.0,342.0,4.2,0.8,1723.0,220.0,11.6,7.3,1807.0,401.0,6.3,4.1,1962.0,328.0,10.2,3.6,1962.0,316.0,0.6,0.8,4932.0,331.0,2.2,1.7,5569.0,339.0,3.1,1.3,2417.0,255.0,5.3,2.7,1955.0,251.0,2.9,2.3,1652.0,262.0,8.8,7,1693.0,278.0,0.0,22,402R-00203,"1100 West Dillon Road, Unit D-3",Louisville
Louisville,Boulder,80027,25672.0,342.0,4.2,0.8,1723.0,220.0,11.6,7.3,1807.0,401.0,6.3,4.1,1962.0,328.0,10.2,3.6,1962.0,316.0,0.6,0.8,4932.0,331.0,2.2,1.7,5569.0,339.0,3.1,1.3,2417.0,255.0,5.3,2.7,1955.0,251.0,2.9,2.3,1652.0,262.0,8.8,7,1693.0,278.0,0.0,22,402R-00214,"1156 West Dillon Road, Unit 3",Louisville
Wheat Ridge,Jefferson,80033,20794.0,598.0,5.3,1.2,946.0,225.0,6.0,6,1436.0,261.0,14.2,6.8,1824.0,331.0,3.3,2.8,1858.0,281.0,3.6,2.8,3269.0,366.0,4.1,1.9,2912.0,300.0,6.4,2.9,1884.0,289.0,5.3,3.4,1908.0,261.0,4.3,3.5,2266.0,262.0,1.3,2.2,2491.0,267.0,0.0,17.5,402R-00763,10185 West 49th Avenue,Wheat Ridge
Wheat Ridge,Jefferson,80033,20794.0,598.0,5.3,1.2,946.0,225.0,6.0,6,1436.0,261.0,14.2,6.8,1824.0,331.0,3.3,2.8,1858.0,281.0,3.6,2.8,3269.0,366.0,4.1,1.9,2912.0,300.0,6.4,2.9,1884.0,289.0,5.3,3.4,1908.0,261.0,4.3,3.5,2266.0,262.0,1.3,2.2,2491.0,267.0,0.0,17.5,402R-00154,4800 Lamar Street,Wheat Ridge
Wheat Ridge,Jefferson,80033,20794.0,598.0,5.3,1.2,946.0,225.0,6.0,6,1436.0,261.0,14.2,6.8,1824.0,331.0,3.3,2.8,1858.0,281.0,3.6,2.8,3269.0,366.0,4.1,1.9,2912.0,300.0,6.4,2.9,1884.0,289.0,5.3,3.4,1908.0,261.0,4.3,3.5,2266.0,262.0,1.3,2.2,2491.0,267.0,0.0,17.5,402R-00184,9085 West 44th Avenue,Wheat Ridge
