City,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
Calhan,El Paso,80808,4730,402,10.6,3.2,274,91,34.2,26.7,185,104,24.7,21.5,1487,260,14.5,5.9,1122,234,4,3,1027,219,7.2,6.6,380,103,0,23.4,255,86,0,100
Cascade,El Paso,80809,1398,239,5.6,3.7,69,64,0,50.9,67,48,28.3,36.9,236,106,0,13,314,104,8.9,9.2,402,102,4,4.3,218,94,6.7,11.1,92,36,0,85.6
Cheyenne Wells,Cheyenne,80810,1003,118,4,3.1,39,22,0,64.7,87,43,14.3,21.9,265,60,0.9,1.6,216,56,5.6,5.8,195,49,3.2,5.6,87,40,0,46.9,114,39,0,100
Cope,Washington,80812,138,39,3.6,4.7,11,8,0,**,0,12,0,**,34,22,0,69.9,35,15,9.7,13.9,34,15,0,54.1,5,8,0,100,19,12,0,100
Cripple Creek,Teller,80813,1660,206,6.9,3.8,80,54,8.9,16.7,135,65,0,25.9,463,117,7,5.6,336,105,14.6,10.3,422,119,2.6,3.3,118,51,0,68,106,63,0,100
Divide,Teller,80814,3438,411,11.7,5.4,259,107,47.7,38.2,165,76,0,24.1,701,258,14.3,13,942,195,8.8,6.4,992,221,11.1,10,295,113,0,22,84,60,0,74.1
Flagler,Kit Carson,80815,742,103,9.1,6.5,54,36,16.7,19.5,30,19,12.5,20.9,140,50,8.3,14.7,146,52,15.4,15.4,174,44,0,24.1,107,38,0,40,91,33,38.5,52
Florissant,Teller,80816,4423,443,8.4,3.9,180,72,49.4,31.6,107,86,0,26.3,947,235,7.8,7.8,872,186,12.6,8.9,1326,268,2.7,2.9,748,185,6.5,11.2,243,121,0,**
Fountain,El Paso,80817,19500,689,8.1,2,1654,359,29.6,15.4,1702,307,17.1,8.7,9164,524,5.3,2.3,3428,430,9,3.3,1941,392,2.7,2.3,1002,217,24,19.4,609,185,0,50.9
Genoa,Lincoln,80818,228,63,9.7,12,8,9,0,100,8,12,0,100,60,37,25,40.2,61,34,0,40.4,27,19,18.8,26.3,29,23,0,89.4,35,22,0,63.2
Green Mountain Falls,El Paso,80819,594,135,6.5,5.2,50,39,33.3,48.4,37,35,0,74.1,130,57,4.1,6.5,126,56,0,23.6,149,55,15,15.5,69,37,0,50.1,33,22,100,100
Guffey,Park,80820,609,169,9.1,10.9,8,11,0,**,0,12,0,**,11,15,100,89.4,117,65,0,35.4,244,106,0,27.8,189,95,25,34.7,40,33,0,**
Hugo,Lincoln,80821,816,120,5.6,4.6,8,25,33.3,66.7,74,55,16.2,16.1,110,47,0,32.9,167,58,4.2,4.9,150,46,5.3,9.3,156,38,0,55.1,151,42,0,58.2
Joes,Yuma,80822,245,89,3,4.7,31,35,0,61.8,13,12,0,89.4,79,54,8.8,13.6,57,31,0,43.7,25,14,0,64.7,32,24,0,98.9,8,9,0,**
Karval,Lincoln,80823,170,51,9,11.7,23,25,0,100,5,8,0,100,39,29,6.9,10.7,29,18,24,36.3,31,15,0,64.7,28,13,0,100,15,7,0,100
Kirk,Yuma,80824,170,58,2.6,4.3,5,8,0,**,7,12,0,100,27,19,0,60.5,63,43,5.5,9.2,26,18,0,68,37,25,0,98.9,5,8,0,**
Kit Carson,Cheyenne,80825,459,91,3.7,4.9,50,35,0,76.6,20,20,0,66.3,179,59,7,10.7,73,35,0,36,55,24,5.6,7.6,57,32,0,54.1,25,14,0,**
Limon,Lincoln,80826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake George,Park,80827,578,250,2.8,5.9,27,36,0,**,0,12,0,**,8,13,0,**,122,117,0,25.2,234,148,4.9,10.7,187,139,0,59.3,0,12,0,**
Limon,Lincoln,80828,3177,198,6.1,3.7,138,38,50.6,28.9,254,77,1.7,5.1,1525,171,3.2,7.5,507,88,0,10.2,345,64,7.1,8.1,140,46,0,53.3,268,44,0,98.9
Manitou Springs,El Paso,80829,4943,258,6.9,3.8,220,101,21.3,32.2,333,177,5.4,11.1,1368,335,11.3,7.9,905,220,2.9,3.8,1254,273,5.1,4.7,649,176,4.6,7.1,214,126,0,**
Matheson,Elbert,80830,151,48,2.4,4.6,0,12,0,**,0,12,0,**,30,22,0,64.7,22,17,11.1,19.7,36,32,0,58.2,48,30,0,69.9,15,11,0,**
Peyton,El Paso,80831,16266,787,9.4,2.7,1447,293,35.7,15.1,791,203,15.8,11.8,6403,452,9.5,4.1,3709,431,4.7,2.4,2404,377,3.9,3.9,1131,216,17.8,17,381,121,0,**
Ramah,El Paso,80832,404,88,9.3,7.2,13,9,0,**,15,13,0,89.4,51,27,23.3,27.1,71,30,18,18.4,153,61,4.3,6.2,62,27,0,74.1,39,23,0,74.1
Rush,El Paso,80833,418,84,2.9,4.4,3,5,0,100,30,22,0,71.9,116,50,0,35.1,79,36,8.8,13.5,72,28,0,43.3,38,22,0,100,80,45,0,100
Seibert,Kit Carson,80834,240,71,7.6,8.5,37,27,44.4,49.1,9,11,0,98.9,53,37,2.2,10.8,36,19,6.7,14.8,30,15,0,68,56,24,0,64.7,19,13,0,100
Simla,Elbert,80835,636,123,6.2,4.1,53,34,0,100,26,23,0,74.1,128,57,11,11,152,63,6,6.1,112,48,4.4,6.1,72,27,0,59.3,93,44,0,100
Stratton,Kit Carson,80836,932,141,7.1,3.5,101,46,14.8,32,48,32,4.5,7,268,67,5,4.8,174,50,5.4,6.4,167,41,14.6,9.2,115,37,0,42.8,59,23,0,100
U S A F Academy,El Paso,80840,5788,351,16.2,11.8,1720,233,0,**,3199,273,30.4,37,682,185,17,19.1,88,49,20.8,25.1,84,59,0,38.3,5,9,0,100,10,15,0,**
U S A F Academy,El Paso,80841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor,Teller,80860,511,109,9.4,6.4,44,32,0,59.3,16,19,0,74.1,149,52,15.3,11.6,102,40,10.6,11.3,127,46,1.5,5,49,29,0,100,24,17,0,**
Vona,Kit Carson,80861,217,66,4.1,7.1,19,17,0,100,17,16,45.5,53.9,70,39,0,41.9,17,12,0,85.6,35,21,0,54.1,31,18,0,100,28,13,0,100
Wild Horse,Cheyenne,80862,44,29,0,55.1,3,4,0,**,0,12,0,**,10,7,0,100,0,12,0,**,12,12,0,85.6,12,14,0,98.9,7,6,0,**
Woodland Park,Teller,80863,9679,462,11.4,3.9,606,151,31.2,24.1,473,102,14.2,12.2,2409,220,13.4,8.1,2297,262,10.6,6.4,2164,261,5.9,5,1197,155,13.5,15.2,533,126,0,64.7
