Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error
80615,5672,393,3.9,2,323,141,19.2,17.7,325,148,0,10.9,1891,219,2.4,1.9,1158,218,1.8,2.5,1083,243,6.7,6.5,626,154,10.5,15.8,266,111,0,89.4
80620,12754,498,8.5,2.4,1233,271,28.3,14.8,1947,368,12.1,8.1,4762,452,6,3.3,1939,288,6.9,4.8,1649,280,0,3.3,774,166,25,16.5,450,153,0,82.3
80621,8814,487,7,2.6,585,164,22.5,18.9,658,198,19.1,12.2,2857,246,4.1,2.7,1712,256,8.6,5.4,1640,238,2.8,2.1,880,222,7.5,8.2,482,124,0,58.2
80622,144,80,0,29,17,26,-,**,0,12,-,**,67,46,0,43.7,22,19,0,74.1,12,12,0,100,0,12,-,**,26,32,0,61.8
80623,790,177,9.6,6,88,48,52,52,84,47,26.4,26,286,95,3.4,3.9,137,48,7.7,10.4,94,46,0,38,78,50,0,64.7,23,20,0,100
80624,793,252,7.4,8.8,62,45,0,50.9,71,79,50.7,50.7,213,109,0,15.4,262,137,0,13.9,105,56,0,28.5,31,28,0,89.4,49,48,100,89.4
80631,37914,1129,12.9,1.6,5754,491,26.2,4.9,7292,532,11.6,3.3,12667,666,12.9,2.9,4538,406,10.7,3.6,3580,396,7.5,3.1,2044,218,5.3,4.3,2039,284,8.4,12.9
80634,42170,969,8.8,1.3,2512,337,25.5,8.4,3759,562,14.9,5.6,15118,794,7.7,2.1,6555,491,4.8,2.4,7100,475,8.4,2.1,3782,313,11.3,7,3344,354,0,21.3
80640,7899,629,6.1,2.3,623,188,38.1,18,600,174,15.8,13.1,3931,408,2.1,1.5,1156,201,4.5,3.6,1049,306,4,4.7,321,118,14.5,25.2,219,95,0,51.6
80642,3600,428,3.1,2,177,54,9.6,11.5,301,161,0,11.4,1309,235,5.3,3.9,902,193,0.4,0.8,583,134,3.8,6.5,201,64,4.6,8.3,127,85,0,100
80643,2424,453,6,3.1,152,68,17.1,28.7,93,54,4,7,833,273,10.1,6.3,496,187,5.4,7.2,460,142,0,11.1,258,82,0,22.6,132,46,-,**
80644,2227,322,6.1,3,161,73,25,32,188,86,2.9,6.3,698,173,6.9,4.4,536,118,2.5,3.9,358,115,10.5,13.8,187,83,0,59.3,99,48,-,**
80645,3502,405,11.1,3.5,279,124,56.2,27.5,203,90,9.8,10.5,1124,206,9.4,4.4,652,147,5.3,3.4,520,134,7,5.9,434,95,0,43.7,290,82,0,93.8
80648,794,193,10.1,4.7,101,64,11.8,16.3,50,37,31.1,18.4,236,78,10.4,7.4,223,80,7.7,9.7,120,60,1.5,4.2,20,11,0,100,44,25,-,**
80649,196,63,0,22,6,7,-,**,13,15,0,100,53,32,0,46.9,35,21,0,54.1,70,31,0,42.8,10,11,0,100,9,14,-,**
80650,1265,210,9.4,4.8,114,58,50,24.5,79,34,25.7,23.4,320,120,1,1.6,293,79,0,12.5,219,71,8,7.8,161,73,13.3,30.5,79,42,-,**
80651,3209,369,3.9,2.1,182,85,0,40,243,80,12.9,11.8,873,142,2.2,2.9,708,130,4.9,3.6,447,139,0,11.6,516,219,4,7.2,240,111,0,100
80652,283,125,0,19.3,15,22,0,76.6,0,12,-,**,89,87,0,50.1,31,35,0,53.3,41,31,0,59.3,70,45,0,44.7,37,43,-,**
80653,593,121,4,3.8,23,23,-,**,8,11,0,100,146,74,5.8,7.7,133,62,2.7,4.4,130,44,3.5,5.4,85,36,0,82.3,68,46,-,**
80654,1928,201,2.7,2.5,128,50,3.7,8.4,176,79,3.7,5.1,578,137,0,6.6,295,100,11.5,10.4,414,101,0,10.9,204,71,0,45.2,133,45,0,69.9
80701,11929,451,6.2,1.7,963,154,15.4,11.7,1007,212,10.2,7.8,4063,276,7.3,3.3,2328,166,3.3,2.2,1501,183,3.2,3.3,985,136,0,14.1,1082,154,0,45.2
80705,632,131,16.5,8,34,26,28.6,26.6,54,29,63.6,31.4,252,69,11.5,7.9,80,38,1.6,4.4,78,33,8.3,9,74,38,0,100,60,34,-,**
80720,2382,115,4.5,2.7,162,41,0,39.6,191,60,20.6,27.9,647,57,3,2.5,440,48,3.7,4,359,44,2.7,3.3,284,43,6.4,9.1,299,29,0,57.1
80721,114,73,0,30.7,0,12,-,**,17,27,-,**,34,49,0,63.2,13,12,0,82.3,31,33,0,53.3,19,27,0,68,0,12,-,**
80722,220,97,0,21.5,6,8,-,**,13,15,0,100,51,34,0,43.3,102,83,0,41.1,8,9,0,100,39,30,0,68,1,2,0,100
80723,5569,250,7.3,4,398,126,11.1,20.2,508,161,10.2,12.4,1631,214,10,9.3,961,165,4.6,4.6,836,180,4.4,5,526,117,0,19.7,709,146,0,66.3
80726,419,113,6.6,8.5,59,39,0,89.4,11,15,-,**,138,80,0,24.3,86,64,25.7,23,71,45,0,37.6,23,12,0,100,31,25,0,100
80727,254,85,21.5,12.7,22,28,0,100,40,37,32.5,34.1,66,37,41.3,22.1,73,38,6.9,12.5,25,15,13.3,27.1,22,16,0,76.6,6,6,-,**
80728,801,123,5.8,3.9,37,22,0,82.3,46,22,6.5,11.2,294,64,9,7.9,164,55,1.3,1.9,149,50,6.1,9.1,55,18,0,89.4,56,23,0,100
80729,405,93,7,5.9,4,5,75,66.6,24,22,0,60.5,125,68,4.4,6.9,34,17,0,52.4,64,23,5.3,9.4,110,56,21.9,29.1,44,25,-,**
80731,1189,134,5.1,3.4,73,27,18.2,19.1,71,42,4.5,6.9,300,85,4.1,5.6,218,54,6.6,8.6,195,43,3.8,4.1,121,33,0,42.8,211,45,0,100
80733,426,111,8.3,6.5,30,26,-,**,26,24,30,40.6,111,61,12.6,13.2,77,46,0,41.1,97,49,2.2,4.6,47,24,28.6,57.1,38,27,0,100
80734,2210,166,6.9,4.5,152,62,0,41.5,174,69,33.6,33.4,653,129,7.2,5.8,340,88,0,10.6,375,94,5.4,5.7,162,49,0,33.5,354,66,0,56
80735,323,87,0,13.5,13,20,0,82.3,17,20,0,100,107,46,0,30.2,64,38,0,38.9,44,27,0,47.5,68,50,0,68,10,9,-,**
80736,489,122,0.8,1.3,27,28,-,**,16,13,18.2,31.8,172,71,0,25.9,93,56,0,34.8,88,41,0,40.7,34,18,0,89.4,59,29,0,100
80737,1209,101,11.5,5.4,77,33,0,61.8,96,59,21.5,26.4,210,58,4.1,5.2,247,70,23.6,12.2,185,52,4.5,4.9,183,46,0,41.1,211,45,0,69.9
80740,86,34,0,47.5,10,17,-,**,11,15,0,89.4,14,12,0,100,9,9,0,100,18,13,0,89.4,12,12,0,100,12,9,0,100
80741,682,119,8.5,5.2,47,27,42.9,34.3,31,24,83.3,21.8,233,78,0,16.1,115,34,0,25.5,147,43,8.5,11.9,80,41,0,56,29,21,0,100
80742,162,51,13.1,9.9,9,9,66.7,60.9,10,12,0,93.8,48,34,10.3,16.6,11,12,9.1,23.4,34,24,0,98.9,22,12,0,100,28,17,100,100
80743,816,83,5,3.9,42,17,25,43,46,31,50,44.9,188,42,5,4.5,127,33,0,24.1,199,43,0.6,1.3,123,36,0,40,91,23,25,35.6
80744,464,92,8.3,5.7,26,19,18.2,37.6,71,44,25,20.4,103,42,7.2,8.2,82,30,1.4,3,98,42,0,35.7,46,21,0,93.8,38,16,0,100
80745,175,89,10.6,14.4,2,4,100,100,14,14,64.3,46.3,109,85,0,33.5,23,19,0,82.3,7,7,0,100,14,13,50,50,6,9,-,**
80746,36,16,0,71.9,2,5,-,**,11,10,0,100,3,4,0,100,5,5,0,100,1,3,0,100,6,6,0,100,8,5,-,**
80747,396,93,5,3.5,26,19,50,45.9,41,25,17.1,18.5,101,39,0,28.7,97,37,0,31.3,81,32,7.1,8.7,22,13,0,100,28,19,0,93.8
80749,241,53,6.3,5.6,11,13,0,98.9,16,15,0,74.1,54,19,21.3,16.1,54,26,0,46.3,61,26,0,45.8,22,13,0,100,23,12,-,**
80750,279,111,3,4.3,14,21,-,**,0,12,-,**,97,79,7.5,13.3,33,49,0,74.1,68,50,0,38,60,42,0,46.9,7,11,-,**
80751,15570,288,11.9,3.8,1616,293,36.1,17.7,1905,249,39.7,15.1,4493,259,1.7,1.4,2445,125,2.6,2.6,2180,154,3.2,2.8,1388,98,12.7,12.6,1543,116,0,19.1
80754,154,59,6,9.3,12,14,0,100,2,4,0,100,46,33,0,53.3,47,32,12.8,19.3,26,23,0,100,14,10,0,100,7,7,-,**
80755,88,51,0,38,8,13,-,**,0,12,-,**,37,28,0,48.8,9,15,-,**,24,28,0,74.1,8,10,0,100,2,4,-,**
80757,204,62,12.4,9.6,23,16,100,100,5,9,0,100,79,35,0,39.6,30,17,25,31.5,44,20,13.2,19.2,10,8,0,100,13,8,0,100
80758,2889,215,4.2,2.6,261,89,16.8,21.3,288,84,12.2,12.2,816,133,3.6,4.5,410,112,0,8.6,562,111,1.1,1.8,295,75,0,29,257,68,0,100
80759,3644,257,2.6,2.7,127,104,10.2,29.2,149,97,0,36.7,1396,219,3.9,4.4,549,147,0,6.5,514,128,0,9.6,403,98,0,19.9,506,70,-,**
80801,78,29,0,41.1,6,5,0,100,0,12,-,**,15,14,0,76.6,20,12,0,69.9,9,7,0,98.9,23,19,0,100,5,6,-,**
80802,182,62,9,8.3,0,12,-,**,39,32,30.8,29.8,54,30,0,44.2,19,16,0,71.9,36,21,0,57.1,10,10,0,100,24,17,0,100
80804,254,60,4.8,6.3,17,15,54.5,54.5,17,14,0,71.9,46,30,0,45.8,34,22,3.2,5.1,55,24,0,48.8,63,27,0,98.9,22,15,-,**
80805,369,84,2.5,2.9,24,15,55.6,46.1,11,13,0,98.9,150,65,0,20.4,79,28,2.7,4.6,40,17,0,55.1,35,19,0,71.9,30,20,0,100
80807,4223,203,3.6,2.4,137,60,0,22.2,398,104,0,13.1,1523,155,5.8,5,794,123,2.3,2.6,548,102,5.8,8.6,394,62,0,21.5,429,62,0,46.9
80808,4730,402,10.6,3.2,274,91,34.2,26.7,185,104,24.7,21.5,1487,260,14.5,5.9,1122,234,4,3,1027,219,7.2,6.6,380,103,0,23.4,255,86,0,100
80809,1398,239,5.6,3.7,69,64,0,50.9,67,48,28.3,36.9,236,106,0,13,314,104,8.9,9.2,402,102,4,4.3,218,94,6.7,11.1,92,36,0,85.6
80810,1003,118,4,3.1,39,22,0,64.7,87,43,14.3,21.9,265,60,0.9,1.6,216,56,5.6,5.8,195,49,3.2,5.6,87,40,0,46.9,114,39,0,100
80812,138,39,3.6,4.7,11,8,-,**,0,12,-,**,34,22,0,69.9,35,15,9.7,13.9,34,15,0,54.1,5,8,0,100,19,12,0,100
80813,1660,206,6.9,3.8,80,54,8.9,16.7,135,65,0,25.9,463,117,7,5.6,336,105,14.6,10.3,422,119,2.6,3.3,118,51,0,68,106,63,0,100
80814,3438,411,11.7,5.4,259,107,47.7,38.2,165,76,0,24.1,701,258,14.3,13,942,195,8.8,6.4,992,221,11.1,10,295,113,0,22,84,60,0,74.1
80815,742,103,9.1,6.5,54,36,16.7,19.5,30,19,12.5,20.9,140,50,8.3,14.7,146,52,15.4,15.4,174,44,0,24.1,107,38,0,40,91,33,38.5,52
80816,4423,443,8.4,3.9,180,72,49.4,31.6,107,86,0,26.3,947,235,7.8,7.8,872,186,12.6,8.9,1326,268,2.7,2.9,748,185,6.5,11.2,243,121,-,**
80817,19500,689,8.1,2,1654,359,29.6,15.4,1702,307,17.1,8.7,9164,524,5.3,2.3,3428,430,9,3.3,1941,392,2.7,2.3,1002,217,24,19.4,609,185,0,50.9
80818,228,63,9.7,12,8,9,0,100,8,12,0,100,60,37,25,40.2,61,34,0,40.4,27,19,18.8,26.3,29,23,0,89.4,35,22,0,63.2
80819,594,135,6.5,5.2,50,39,33.3,48.4,37,35,0,74.1,130,57,4.1,6.5,126,56,0,23.6,149,55,15,15.5,69,37,0,50.1,33,22,100,100
80820,609,169,9.1,10.9,8,11,-,**,0,12,-,**,11,15,100,89.4,117,65,0,35.4,244,106,0,27.8,189,95,25,34.7,40,33,-,**
80821,816,120,5.6,4.6,8,25,33.3,66.7,74,55,16.2,16.1,110,47,0,32.9,167,58,4.2,4.9,150,46,5.3,9.3,156,38,0,55.1,151,42,0,58.2
80822,245,89,3,4.7,31,35,0,61.8,13,12,0,89.4,79,54,8.8,13.6,57,31,0,43.7,25,14,0,64.7,32,24,0,98.9,8,9,-,**
80823,170,51,9,11.7,23,25,0,100,5,8,0,100,39,29,6.9,10.7,29,18,24,36.3,31,15,0,64.7,28,13,0,100,15,7,0,100
80824,170,58,2.6,4.3,5,8,-,**,7,12,0,100,27,19,0,60.5,63,43,5.5,9.2,26,18,0,68,37,25,0,98.9,5,8,-,**
80825,459,91,3.7,4.9,50,35,0,76.6,20,20,0,66.3,179,59,7,10.7,73,35,0,36,55,24,5.6,7.6,57,32,0,54.1,25,14,-,**
80827,578,250,2.8,5.9,27,36,-,**,0,12,-,**,8,13,-,**,122,117,0,25.2,234,148,4.9,10.7,187,139,0,59.3,0,12,-,**
80828,3177,198,6.1,3.7,138,38,50.6,28.9,254,77,1.7,5.1,1525,171,3.2,7.5,507,88,0,10.2,345,64,7.1,8.1,140,46,0,53.3,268,44,0,98.9
80829,4943,258,6.9,3.8,220,101,21.3,32.2,333,177,5.4,11.1,1368,335,11.3,7.9,905,220,2.9,3.8,1254,273,5.1,4.7,649,176,4.6,7.1,214,126,-,**
80830,151,48,2.4,4.6,0,12,-,**,0,12,-,**,30,22,0,64.7,22,17,11.1,19.7,36,32,0,58.2,48,30,0,69.9,15,11,-,**
80831,16266,787,9.4,2.7,1447,293,35.7,15.1,791,203,15.8,11.8,6403,452,9.5,4.1,3709,431,4.7,2.4,2404,377,3.9,3.9,1131,216,17.8,17,381,121,-,**
80832,404,88,9.3,7.2,13,9,-,**,15,13,0,89.4,51,27,23.3,27.1,71,30,18,18.4,153,61,4.3,6.2,62,27,0,74.1,39,23,0,74.1
80833,418,84,2.9,4.4,3,5,0,100,30,22,0,71.9,116,50,0,35.1,79,36,8.8,13.5,72,28,0,43.3,38,22,0,100,80,45,0,100
80834,240,71,7.6,8.5,37,27,44.4,49.1,9,11,0,98.9,53,37,2.2,10.8,36,19,6.7,14.8,30,15,0,68,56,24,0,64.7,19,13,0,100
80835,636,123,6.2,4.1,53,34,0,100,26,23,0,74.1,128,57,11,11,152,63,6,6.1,112,48,4.4,6.1,72,27,0,59.3,93,44,0,100
80836,932,141,7.1,3.5,101,46,14.8,32,48,32,4.5,7,268,67,5,4.8,174,50,5.4,6.4,167,41,14.6,9.2,115,37,0,42.8,59,23,0,100
80840,5788,351,16.2,11.8,1720,233,-,**,3199,273,30.4,37,682,185,17,19.1,88,49,20.8,25.1,84,59,0,38.3,5,9,0,100,10,15,-,**
80860,511,109,9.4,6.4,44,32,0,59.3,16,19,0,74.1,149,52,15.3,11.6,102,40,10.6,11.3,127,46,1.5,5,49,29,0,100,24,17,-,**
80861,217,66,4.1,7.1,19,17,0,100,17,16,45.5,53.9,70,39,0,41.9,17,12,0,85.6,35,21,0,54.1,31,18,0,100,28,13,0,100
80862,44,29,0,55.1,3,4,-,**,0,12,-,**,10,7,0,100,0,12,-,**,12,12,0,85.6,12,14,0,98.9,7,6,-,**
80863,9679,462,11.4,3.9,606,151,31.2,24.1,473,102,14.2,12.2,2409,220,13.4,8.1,2297,262,10.6,6.4,2164,261,5.9,5,1197,155,13.5,15.2,533,126,0,64.7
80864,858,203,10.5,5.9,88,79,71.4,68.9,30,32,0,85.6,220,88,0,20.9,198,61,10.7,9.8,196,71,20.9,16.3,86,38,0,59.3,40,23,0,100
80902,8006,427,12.2,6.2,749,160,0,93.8,2815,372,7.5,10.3,4120,404,12.1,6.6,255,126,40.6,44.2,67,61,-,**,0,19,-,**,0,19,-,**
80903,13466,634,10.5,1.8,1853,335,24.4,10.9,2062,349,13.1,5.5,4625,473,8,2.7,1795,242,9.1,4.7,1639,256,11.7,5.6,790,146,4.7,7.4,702,152,0,53.3
80904,17619,770,9,2.1,702,247,18.7,12.9,1565,328,11.1,6.5,5429,407,8.4,2.6,3083,356,9,4.2,2760,328,7.2,4,2003,228,6.3,5.5,2077,258,18.6,26.6
80905,14020,797,7.9,2.1,752,220,16,23.3,1388,403,6.8,6.3,4942,558,4.8,2.6,2806,342,8.3,3.9,2034,309,14.3,6.8,1053,206,13.9,11.7,1045,192,0,22.8
80906,29887,1073,12,2.3,1800,326,31.7,14.2,3370,548,35.8,9.5,9097,552,8.7,2.9,5149,453,7.2,3.2,4829,426,8.8,3,3237,373,11.9,7,2405,313,0,15.2
80907,22248,769,10.7,1.9,1111,285,54.2,18.7,2030,382,9,5.1,7229,469,8,2.4,3882,388,9,3,3830,347,12.8,4.4,2070,267,1.3,2.2,2096,200,6.8,9.4
80908,10948,515,7,2.3,948,200,34.1,19,372,136,18.4,18.7,2495,326,6.6,3.6,3040,282,3.7,2.8,2407,307,0.9,1.5,1227,170,20.8,15.9,459,166,51.7,51.7
80909,28073,1065,10.3,2.3,1554,375,26.2,11.1,2879,365,12.9,6.6,8816,571,10.7,3.5,4990,605,9.6,3.9,4372,424,5.2,3.3,2676,320,5.3,4.7,2786,285,0,20.5
80910,22345,997,16.7,2.2,1755,288,37.3,14.9,2874,462,19.6,7.1,8528,769,16.4,3.4,3253,340,15.1,4.1,2568,318,7.3,4.3,1583,213,9.8,8.1,1784,183,23.2,22.8
80911,23558,768,10.5,1.6,1636,296,42.8,12.1,2086,304,15.8,7.2,8380,548,10.1,2.6,4379,402,6.6,2.7,3335,371,4.1,2.6,2052,246,7,7,1690,217,13.8,21.4
80913,3024,392,0,26.5,423,103,-,**,1805,268,-,**,715,175,0,41.5,81,84,0,41.1,0,12,-,**,0,12,-,**,0,12,-,**
80914,321,146,-,**,47,36,-,**,237,124,-,**,37,23,-,**,0,12,-,**,0,12,-,**,0,12,-,**,0,12,-,**
80915,15210,791,8.6,2.1,981,273,30.7,15,1602,387,10.8,9,5326,514,9.6,3.5,2930,351,4.6,3.2,2057,276,6,3.9,1251,231,3.7,6.1,1063,185,0,46.3
80916,26507,955,14.2,2.1,2089,337,40.9,12.2,4071,630,27.8,7.5,11882,665,9.5,2.3,3856,433,9.7,3.6,2741,390,13,4.7,1236,161,6.4,9.9,632,142,0,46.3
80917,23895,779,10.6,2.4,1638,262,19.3,10.7,2703,516,20.9,10,7813,461,10.5,2.9,3895,356,6.9,2.3,3795,284,3.2,1.7,2223,224,13.9,11.1,1828,275,0,19.9
80918,37675,868,8.6,1,3046,375,30.1,6.7,3840,447,13.5,4.4,13090,659,5.7,1.4,6609,416,7.8,2,5659,404,6.5,2.1,3357,257,7,5.6,2074,236,12.4,13.7
