City_x,County,Zipcode,Total Population 2012,Total Population 2012 Margin of Error,Total Unemployment 2012,Total Unemployment 2012 margin of Error,Age Group 16-19 2012,Age Group 16-19 2012 Margin of Error,Age Group 16-19 2012 Unemployment,Age Group 16-19 2012 Unemployment Margin of Error,Age Group 20-24 2012,Age Group 20-24 2012 Margin of Error,Age Group 20-24 2012 Unemployment,Age Group 20-24 2012 Unemployment Margin of Error,Age Group 25-44 2012,Age Group 25-44 2012 Margin of Error,Age Group 25-44 2012 Unemployment,Age Group 25-44 2012 Unemployment Margin of Error,Age Group 45-54 2012,Age Group 45-54 2012 Margin of Error,Age Group 45-54 2012 Unemployment,Age Group 45-54 2012 Unemployment Margin of Error,Age Group 55-64 2012,Age Group 55-64 2012 Margin of Error,Age Group 55-64 2012 Unemployment,Age Group 55-64 2012 Unemployment Margin of Error,Age Group 65-74 2012,Age Group 65-74 2012 Margin of Error,Age Group 65-74 2012 Unemployment,Age Group 65-74 2012 Unemployment Margin of Error,Age Group 75+ 2012,Age Group 75+ 2012 Margin of Error,Age Group 75+ 2012 Unemployment,Age Group 75+ 2012 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80010,29832.0,1094.0,14.2,1.8,2453.0,319.0,30.3,9.2,3383.0,455.0,16.4,4.9,13738.0,887.0,12.3,2.6,4352.0,462.0,13.1,4,3288.0,348.0,14.7,5.4,1317.0,206.0,12.3,9.6,1301.0,205.0,9.3,13.1,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,29832.0,1094.0,14.2,1.8,2453.0,319.0,30.3,9.2,3383.0,455.0,16.4,4.9,13738.0,887.0,12.3,2.6,4352.0,462.0,13.1,4,3288.0,348.0,14.7,5.4,1317.0,206.0,12.3,9.6,1301.0,205.0,9.3,13.1,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,29832.0,1094.0,14.2,1.8,2453.0,319.0,30.3,9.2,3383.0,455.0,16.4,4.9,13738.0,887.0,12.3,2.6,4352.0,462.0,13.1,4,3288.0,348.0,14.7,5.4,1317.0,206.0,12.3,9.6,1301.0,205.0,9.3,13.1,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,29832.0,1094.0,14.2,1.8,2453.0,319.0,30.3,9.2,3383.0,455.0,16.4,4.9,13738.0,887.0,12.3,2.6,4352.0,462.0,13.1,4,3288.0,348.0,14.7,5.4,1317.0,206.0,12.3,9.6,1301.0,205.0,9.3,13.1,402R-00302,"1450 Havana Street, Suites C & D",Aurora
Aurora,Arapahoe,80010,29832.0,1094.0,14.2,1.8,2453.0,319.0,30.3,9.2,3383.0,455.0,16.4,4.9,13738.0,887.0,12.3,2.6,4352.0,462.0,13.1,4,3288.0,348.0,14.7,5.4,1317.0,206.0,12.3,9.6,1301.0,205.0,9.3,13.1,402R-00301,10455 East Colfax Avenue,Aurora
Aurora,Adams,80011,34520.0,1152.0,13.2,1.6,2683.0,361.0,31.8,12.7,3871.0,459.0,13,4.1,13802.0,763.0,12.4,2.3,5676.0,476.0,11.9,3.3,4221.0,467.0,10.2,3.6,2302.0,269.0,16.5,11,1965.0,261.0,6.5,10.1,402R-00290,19201 East Colfax Avenue,Aurora
Aurora,Adams,80011,34520.0,1152.0,13.2,1.6,2683.0,361.0,31.8,12.7,3871.0,459.0,13,4.1,13802.0,763.0,12.4,2.3,5676.0,476.0,11.9,3.3,4221.0,467.0,10.2,3.6,2302.0,269.0,16.5,11,1965.0,261.0,6.5,10.1,402R-00333,1401 Peoria Street,Aurora
Aurora,Adams,80011,34520.0,1152.0,13.2,1.6,2683.0,361.0,31.8,12.7,3871.0,459.0,13,4.1,13802.0,763.0,12.4,2.3,5676.0,476.0,11.9,3.3,4221.0,467.0,10.2,3.6,2302.0,269.0,16.5,11,1965.0,261.0,6.5,10.1,402R-00323,719 Billings Street,Aurora
Aurora,Adams,80011,34520.0,1152.0,13.2,1.6,2683.0,361.0,31.8,12.7,3871.0,459.0,13,4.1,13802.0,763.0,12.4,2.3,5676.0,476.0,11.9,3.3,4221.0,467.0,10.2,3.6,2302.0,269.0,16.5,11,1965.0,261.0,6.5,10.1,402R-00303,14301 East Colfax Avenue,Aurora
Aurora,Arapahoe,80012,34945.0,1061.0,10.5,1.2,2272.0,315.0,48.3,10.9,3351.0,518.0,15.1,4.7,13226.0,703.0,7.9,2,6079.0,484.0,6.9,2.6,5061.0,335.0,6.6,3,2769.0,303.0,12.1,8.1,2187.0,250.0,0,23.3,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora
