City_x,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error,License,Street,City_y
Pueblo,Pueblo,81004,20281.0,687.0,13.5,2.3,1322.0,242.0,55.8,14.8,2036.0,289.0,16.8,7.5,5997.0,452.0,12.4,2.9,3463.0,293.0,8.2,2.9,3485.0,299.0,9.1,4.4,1939.0,243.0,1.6,2.3,2039.0,223.0,8.8,12.9,402R-00702,3377 South Interstate 25,Pueblo
Pueblo,Pueblo,81004,20281.0,687.0,13.5,2.3,1322.0,242.0,55.8,14.8,2036.0,289.0,16.8,7.5,5997.0,452.0,12.4,2.9,3463.0,293.0,8.2,2.9,3485.0,299.0,9.1,4.4,1939.0,243.0,1.6,2.3,2039.0,223.0,8.8,12.9,402R-00525,3321 South I-25,Pueblo
Pueblo,Pueblo,81004,20281.0,687.0,13.5,2.3,1322.0,242.0,55.8,14.8,2036.0,289.0,16.8,7.5,5997.0,452.0,12.4,2.9,3463.0,293.0,8.2,2.9,3485.0,299.0,9.1,4.4,1939.0,243.0,1.6,2.3,2039.0,223.0,8.8,12.9,402R-00713,3369 South Interstate 25,Pueblo
Pueblo,Pueblo,81004,20281.0,687.0,13.5,2.3,1322.0,242.0,55.8,14.8,2036.0,289.0,16.8,7.5,5997.0,452.0,12.4,2.9,3463.0,293.0,8.2,2.9,3485.0,299.0,9.1,4.4,1939.0,243.0,1.6,2.3,2039.0,223.0,8.8,12.9,402R-00670,1207 Southgate Place,Pueblo
Pueblo,Pueblo,81005,23963.0,646.0,9.7,1.9,1655.0,343.0,28.6,10.6,1577.0,320.0,19.5,12.7,6612.0,402.0,9.3,3,4253.0,414.0,6.7,3.4,4104.0,335.0,4.5,2.8,2736.0,278.0,5.4,4.7,3026.0,264.0,4.6,7.3,402R-00673,5341 West Highway 96,Pueblo
Pueblo,Pueblo,81005,23963.0,646.0,9.7,1.9,1655.0,343.0,28.6,10.6,1577.0,320.0,19.5,12.7,6612.0,402.0,9.3,3,4253.0,414.0,6.7,3.4,4104.0,335.0,4.5,2.8,2736.0,278.0,5.4,4.7,3026.0,264.0,4.6,7.3,402R-00668,2729 Farabaugh Lane,Pueblo
Pueblo,Pueblo,81005,23963.0,646.0,9.7,1.9,1655.0,343.0,28.6,10.6,1577.0,320.0,19.5,12.7,6612.0,402.0,9.3,3,4253.0,414.0,6.7,3.4,4104.0,335.0,4.5,2.8,2736.0,278.0,5.4,4.7,3026.0,264.0,4.6,7.3,402R-00410,4305 Thatcher Avenue,Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00382,1917 Santa Fe Drive,Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00424,"23344 Highway 50 East, Unit B",Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00514,30899 Highway 50 East,Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00556,1714 B Santa Fe Drive,Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00513,1805 Sante Fe Drive Unit E,Pueblo
Pueblo,Pueblo,81006,9570.0,453.0,12.4,3,751.0,192.0,31.2,12.5,668.0,154.0,23,13,2327.0,280.0,9.1,4.6,1948.0,226.0,10.7,5.3,1751.0,223.0,13.1,7.9,1301.0,139.0,0,11.6,824.0,142.0,0,47.5,402R-00222,1400 Santa Fe Drive Suites A & B,Pueblo
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00157,748 East Industrial Boulevard,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00567,67 North Silicon Drive  # 130,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00444,78 North Precision Drive,Pueblo
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00219,"74 North Component Drive, Suite 170",Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00063,922 East Kimble Drive,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00524,749 East Enterprise Drive,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00359,148 East Assembly Drive,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00123,"609 East Enterprise Drive, Suite 130",Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00177,"428 South McCulloch Boulevard, Building A",Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00196,41 North Precision Drive,Pueblo West
Pueblo,Pueblo,81007,22734.0,598.0,7.7,1.6,1558.0,251.0,28.1,13.2,1790.0,317.0,12,6.4,7249.0,428.0,6.8,2.1,4234.0,354.0,6,2.5,4236.0,337.0,5.6,2.9,2344.0,203.0,5.4,6,1323.0,201.0,0,50.9,402R-00751,83 North Magneto Drive,Pueblo West
Pueblo,Pueblo,81008,8495.0,544.0,9.4,3.2,381.0,130.0,25.4,20,675.0,222.0,13.9,11.9,3176.0,500.0,9.5,4.8,1441.0,228.0,6.4,4.2,1248.0,182.0,10.5,8.7,922.0,157.0,0,13.5,652.0,158.0,0,64.7,402R-00671,3504 North Elizabeth Street,Pueblo
