City_x,County,Zipcode,Total Population 2013,Total Population 2013 Margin of Error,Total Unemployment 2013,Total Unemployment 2013 margin of Error,Age Group 16-19 2013,Age Group 16-19 2013 Margin of Error,Age Group 16-19 2013 Unemployment,Age Group 16-19 2013 Unemployment Margin of Error,Age Group 20-24 2013,Age Group 20-24 2013 Margin of Error,Age Group 20-24 2013 Unemployment,Age Group 20-24 2013 Unemployment Margin of Error,Age Group 25-44 2013,Age Group 25-44 2013 Margin of Error,Age Group 25-44 2013 Unemployment,Age Group 25-44 2013 Unemployment Margin of Error,Age Group 45-54 2013,Age Group 45-54 2013 Margin of Error,Age Group 45-54 2013 Unemployment,Age Group 45-54 2013 Unemployment Margin of Error,Age Group 55-64 2013,Age Group 55-64 2013 Margin of Error,Age Group 55-64 2013 Unemployment,Age Group 55-64 2013 Unemployment Margin of Error,Age Group 65-74 2013,Age Group 65-74 2013 Margin of Error,Age Group 65-74 2013 Unemployment,Age Group 65-74 2013 Unemployment Margin of Error,Age Group 75+ 2013,Age Group 75+ 2013 Margin of Error,Age Group 75+ 2013 Unemployment,Age Group 75+ 2013 Unemployment Margin of Error,License,Street,City_y
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00523,401 West Main Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00698,417 North Commercial Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00617,3140 Santa Fe Trail,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00372,1505 Santa Fe Trail Drive,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00605,110 Santa Fe Trail,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00582,1423 Santa Fe Trail,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00583,409 North Commercial Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00616,439 North Commercial Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00570,411 North Commercial Street,Trinidad
Trinidad,Las Animas,81082,9971.0,271.0,8.7,2.2,685.0,87.0,18.4,10.6,784.0,81.0,18.5,8,2607.0,159.0,8.1,3.9,1836.0,103.0,8.2,4.3,1877.0,106.0,4.6,2.8,1172.0,82.0,6.2,6.4,1010.0,57.0,0,36.7,402R-00271,1000 Independence Road,Trinidad
Walsenburg,Huerfano,81089,3500.0,219.0,17.5,7,120.0,82.0,33.9,46.6,195.0,87.0,26.6,24.7,937.0,162.0,15.4,15.5,578.0,110.0,21.6,10.3,648.0,156.0,10.3,10.4,487.0,102.0,12.4,16.6,535.0,90.0,0,68,402R-00463,"973 U.S. Highway 85 87, Suite 100",Walsenburg
Walsenburg,Huerfano,81089,3500.0,219.0,17.5,7,120.0,82.0,33.9,46.6,195.0,87.0,26.6,24.7,937.0,162.0,15.4,15.5,578.0,110.0,21.6,10.3,648.0,156.0,10.3,10.4,487.0,102.0,12.4,16.6,535.0,90.0,0,68,402R-00739,10232 Interstate 25,Walsenburg
Walsenburg,Huerfano,81089,3500.0,219.0,17.5,7,120.0,82.0,33.9,46.6,195.0,87.0,26.6,24.7,937.0,162.0,15.4,15.5,578.0,110.0,21.6,10.3,648.0,156.0,10.3,10.4,487.0,102.0,12.4,16.6,535.0,90.0,0,68,402R-00760,25462 US Highway 160,Walsenburg
