Zipcode,Total Population 2015,Total Population 2015 Margin of Error,Total Unemployment 2015,Total Unemployment 2015 margin of Error,Age Group 16-19 2015,Age Group 16-19 2015 Margin of Error,Age Group 16-19 2015 Unemployment,Age Group 16-19 2015 Unemployment Margin of Error,Age Group 20-24 2015,Age Group 20-24 2015 Margin of Error,Age Group 20-24 2015 Unemployment,Age Group 20-24 2015 Unemployment Margin of Error,Age Group 25-29 2015,Age Group 25-29 2015 Margin of Error,Age Group 25-29 2015 Unemployment,Age Group 25-29 2015 Unemployment Margin of Error,Age Group 30-34 2015,Age Group 30-34 2015 Margin of Error,Age Group 30-34 2015 Unemployment,Age Group 30-34 2015 Unemployment Margin of Error,Age Group 35-44 2015,Age Group 35-44 2015 Margin of Error,Age Group 35-44 2015 Unemployment,Age Group 35-44 2015 Unemployment Margin of Error,Age Group 45-54 2015,Age Group 45-54 2015 Margin of Error,Age Group 45-54 2015 Unemployment,Age Group 45-54 2015 Unemployment Margin of Error,Age Group 55-64 2015,Age Group 55-64 2015 Margin of Error,Age Group 55-64 2015 Unemployment,Age Group 55-64 2015 Unemployment Margin of Error,Age Group 60-64 2015,Age Group 60-64 2015 Margin of Error,Age Group 60-64 2015 Unemployment,Age Group 60-64 2015 Unemployment Margin of Error,Age Group 65-74 2015,Age Group 65-74 2015 Margin of Error,Age Group 65-74 2015 Unemployment,Age Group 65-74 2015 Unemployment Margin of Error,Age Group 75+ 2015,Age Group 75+ 2015 Margin of Error,Age Group 75+ 2015 Unemployment,Age Group 75+ 2015 Unemployment Margin of Error
80105,1081,145,7.9,3.8,33,18,38.9,52.7,43,29,0,54.8,61,29,21.1,23.2,131,55,0,23.2,108,36,3.6,5.4,200,65,12.8,8.3,183,66,2.4,4.2,81,31,26.2,23.6,159,43,0,35.6,82,38,0,100
80106,3518,388,5.2,3.2,339,98,9.6,13.5,181,86,0,20.6,104,62,0,37.4,151,85,20.3,29.2,543,229,0,6.3,828,205,5.7,5.9,511,153,4.9,4.4,346,112,15,20.4,409,130,2.7,6.6,106,59,0,100
80107,9833,396,6.9,2.3,744,199,39.7,19.1,541,116,8.8,11.8,461,109,3.6,6,669,121,3.6,4,1164,158,6.5,5.4,2445,229,3.4,2.7,1356,243,5.6,4.6,941,184,10.7,7.6,1058,122,0,7.3,454,85,0,62.2
80108,18111,535,5,1.3,1389,270,20.2,9.6,743,170,5,4.2,660,237,0,5.3,1219,262,4.4,4.4,3860,376,1.6,1.4,4157,353,6.5,2.8,1969,280,1.8,2,1285,246,5.1,5.7,2134,229,9.7,7.7,695,171,0,33.9
80109,13843,436,4.5,1.7,1029,229,14.5,10.7,955,291,22.2,16.6,740,250,2.6,4.4,1360,264,0,2.7,3692,359,1.8,1.4,2617,289,4.2,3,854,273,1.3,2.2,1042,252,2.4,3.6,991,182,0,12.2,563,146,-,**
80110,17819,513,8,1.5,759,163,14,14.1,1877,297,15.4,6.5,2035,274,7.9,4.8,2101,321,4,3.2,3089,334,8,3.6,2935,345,9.7,3.8,1533,243,4.1,2.2,1118,175,2.8,3.4,1203,165,4.1,4.9,1169,169,0,31.7
80111,24234,564,3.9,0.9,1737,246,10.8,5.8,1120,226,7.2,4.1,1946,281,1.9,1.7,1986,314,6.2,4.8,4307,340,3.4,1.8,4639,418,2.6,1.3,2361,261,4.5,2.5,2395,282,3.4,2.7,2403,253,2.1,2.2,1340,218,5,7.3
80112,25503,949,4.6,1.2,1662,380,28.8,19.7,2149,384,6.8,3.8,2568,452,4.3,3.5,2800,423,1,1.2,4629,467,4.3,2.9,4354,392,4,2.2,1778,259,3.4,2.6,1867,223,3,2.3,2435,290,2.6,3,1261,268,0,17.8
80113,17555,556,8.1,1.8,635,154,14,11.4,1373,281,15,8.3,1793,293,6.9,3.5,1527,265,7,4.3,2677,284,6.3,3,3247,321,8.8,3.9,1668,208,7.9,6.1,1376,210,8.2,6.9,1673,165,4.1,4.7,1586,217,10.3,19.8
80116,3245,275,3.3,2.1,258,96,0,29.2,131,74,0,22,102,62,15.6,11.1,156,80,12.6,18.5,406,127,0,8,739,154,0.8,1.5,349,93,8.9,8.4,388,123,4.1,6.2,502,137,0,25.9,214,75,0,62.2
80117,2219,230,5,2.5,151,58,30.4,29.9,161,85,19.6,20.8,169,90,2.8,7,96,49,11.6,9.7,265,75,0,12.3,568,109,3.2,3.4,296,105,5,6.3,214,74,0,28.2,172,56,0,39.1,127,57,0,58.2
80118,5126,400,4.8,1.9,415,188,0,24.5,213,90,0,14.4,157,91,0,18.7,317,148,0,13.2,643,176,5.3,7.9,1237,187,4.2,2.9,743,133,5.8,5.1,474,111,18.3,10.6,597,107,0,21.4,330,89,0,53.8
80120,25538,445,6.6,1.3,1597,265,14.9,9.8,1939,300,13,5.5,2216,357,9.5,4.7,1778,256,3.8,2.7,3866,330,5.3,2.4,4250,359,5.8,3.9,2483,257,2.9,1.9,2018,265,6.6,3.3,2752,233,3.5,3.2,2639,241,0,14.3
80121,14903,521,5.2,1.2,835,188,7.6,11.5,731,188,2,3.5,738,187,7.1,5.5,1025,232,2.8,3.2,2193,257,8,4.2,2653,308,1.9,1.1,1498,273,5.8,3.8,1046,142,6.2,5.2,2167,267,7.8,5.9,2017,309,8.1,11.9
80122,25474,594,6.2,1.1,1269,237,15.6,10,1243,242,17,8.2,1716,330,4.8,3,1852,289,5.1,4.2,4027,309,4.5,2.5,5070,422,4.1,1.5,2497,282,6.3,2.9,2488,297,8.9,5.2,3252,230,3.5,2.6,2060,256,17.2,17.5
80123,37354,775,4.5,0.9,1900,224,17.6,8.7,2309,342,7.7,3.3,3314,426,4.2,2.5,3127,465,1.9,1.5,6149,426,4.4,1.9,6951,486,4,1.5,3413,297,4.7,2.3,3191,307,3.3,2.2,4265,275,2.7,3.1,2735,245,4.8,7.2
80124,15241,475,4.1,1.1,1070,225,23.7,15.3,1236,358,7.6,5.2,1571,268,1.4,1.2,1363,294,0.8,1.2,2773,295,3,2.2,3185,293,3.5,1.7,1373,263,2.3,2.4,996,173,3.6,4.3,1207,162,5.8,6.6,467,106,0,33.6
80125,8139,350,6.3,2.3,448,141,5.9,10.2,390,149,19.2,16.2,388,107,6.2,6.6,663,191,0,4.8,2013,205,4.7,3.5,1679,213,3.5,2.7,777,204,13.7,14.5,688,168,6.9,8.3,780,120,13.2,14,313,78,0,82.3
80126,31340,665,3.8,0.9,2696,385,16.8,7.9,1578,265,2,2.8,1491,286,1.5,1.9,2112,346,2.7,2.6,7382,481,2.4,1.2,7765,423,3.9,1.5,2704,259,3.1,2.2,2296,276,4.5,3.1,2050,221,2.6,2.9,1266,181,0,36.7
80127,34756,691,5.5,1,2574,317,21.1,9,2135,306,7.7,4.1,1822,250,10.1,6.3,2304,345,4.1,2.7,6364,357,3.6,1.4,7969,486,2.9,1,3899,322,6.9,2.9,3160,290,5.9,2.8,3128,232,2.6,2.4,1401,176,0,28.7
80128,29082,700,5.3,1.1,2111,321,21.4,8.1,1689,306,14.9,7.6,2087,332,2.9,2.3,2366,346,3.3,2,4987,398,2.8,1.4,6090,500,2.9,1.5,3138,334,7.6,3.7,2197,244,4.4,2.8,2725,212,1.8,2.1,1692,239,11.1,16.6
80129,21558,543,2.8,0.7,1450,215,7.8,5.1,1405,308,1.9,3.3,1188,211,5,4.2,1723,294,1.2,1.4,4894,381,2.3,1.3,5118,325,2.8,1.6,1718,236,2.2,2.6,1306,188,3.2,3,1494,182,3.5,4,1262,187,0,34.6
80130,20729,573,3.9,1,1370,294,11.6,9.1,887,240,3.9,5.3,1324,259,5.2,4.5,2235,386,1.8,2.2,5558,426,3.6,2.2,4194,344,4.1,1.6,1243,204,3.7,2.6,1135,181,3,2.5,1804,275,0,5.5,979,176,11.5,16.7
80131,126,50,12,20,0,11,-,**,0,11,-,**,0,11,-,**,0,11,-,**,28,27,50,50,15,17,0,90.1,15,19,0,73.6,6,10,0,100,33,24,0,100,29,26,-,**
80132,15598,762,6.7,1.8,1181,222,39,15.6,902,288,8.4,8,474,171,0,9,630,175,2.4,4.2,2578,305,7.3,5.4,4168,427,3.8,2,1652,275,7.7,4.8,1358,285,0,3.5,1825,292,5.1,5.7,830,192,0,33.6
80133,1652,165,3.7,3,97,60,0,39.5,53,42,0,45.1,168,86,0,23,203,100,4.7,8.4,182,68,5.1,9.1,417,141,2.6,2.8,211,85,11,16.1,108,69,0,37.7,100,55,0,82.3,113,74,-,**
80134,43421,811,4.3,0.8,3007,357,13.3,7.1,2701,348,11.1,5.1,3025,354,4.1,1.9,4116,390,4.1,1.9,10458,634,3.1,1.2,9801,485,2.5,1,3862,387,3.1,1.7,2540,359,5.6,4.9,2520,248,6.4,4.9,1391,216,0,33.3
80135,3407,285,5.4,2.5,272,112,7.8,9.4,127,65,0,30.9,50,27,45.9,42.4,84,36,7,11.6,315,85,0,11,779,178,6.6,4.7,538,118,3.3,3.4,391,91,6.6,9.7,603,127,0,14.7,248,83,100,100
80136,3865,314,6.8,2.9,410,154,7.9,12.6,158,99,19,20.4,196,87,10.8,17.6,410,157,0,8.5,566,116,1.7,2.8,805,167,11.4,8.9,427,133,0,8.4,330,100,16,11.4,395,117,0,32.7,168,70,0,46.8
80137,1120,262,3.4,3.3,394,206,0,69.1,12,18,0,82.3,95,88,0,31.7,44,47,0,43,94,53,0,26.8,177,68,6.2,7.5,70,42,12.1,19.1,65,34,0,43,101,60,0,46.8,68,51,-,**
80138,23023,781,3.8,1,1689,297,5.5,7,1455,297,10.8,6.2,887,186,2.2,2.8,1197,211,2.4,2.5,5100,420,3.1,1.8,5582,415,2.4,1.3,2131,329,7.2,4.3,1818,275,1.8,2,2118,230,3.9,4.5,1046,180,0,30
80202,12011,910,4.3,2,360,163,21.9,23.7,1430,362,2.1,3.4,2798,635,5.9,4.6,2068,433,3.5,4.5,1612,287,0.8,1.2,1548,252,6.6,7.4,739,216,0,6.9,598,182,0,11.6,648,169,15.3,16.3,210,85,0,85.9
80203,19893,876,4.6,1.1,68,56,-,**,2401,395,2.4,1.6,5433,468,4,2,4168,521,4.7,2.7,2644,339,5.7,4,1892,302,2.6,2.6,892,241,8.8,7.3,1118,246,16.7,10.6,895,197,0,8.8,382,111,0,39.5
80204,24773,1140,9.8,1.7,1674,327,21.4,13,2859,329,10.9,4.7,3480,412,6.6,3.2,2842,332,12.4,5,4448,425,9.3,3.3,3381,410,6.8,3.3,1680,269,10.5,5.5,1532,233,10.1,5.4,1644,227,7,7.7,1233,173,41.5,28.5
80205,25482,1184,8.4,1.7,722,158,39.9,21.5,2435,546,12.6,7.4,4755,651,5.5,3,3738,479,4.3,2.1,5069,527,7.8,2.9,3578,460,13.6,4.1,1433,298,14.5,10.5,1383,204,6.6,6,1296,192,6.7,11.7,1073,153,18.1,23.6
80206,20374,664,3.7,0.9,307,112,10.6,14.1,1329,246,2.4,2.7,3478,416,4,2.9,3262,418,2.3,1.6,3715,376,3.2,1.7,2402,293,6.5,3.1,1276,231,4.4,3.7,1608,259,2,2.3,1964,249,4.4,2.8,1033,176,6.4,10.4
80207,18963,786,6.8,1.4,856,169,48.9,18.7,1093,274,4.6,4.3,2094,436,9.4,5.8,2326,360,4.2,2.9,3868,443,4.7,2.5,2929,308,4,2.1,1403,259,8.1,5.5,1188,217,7.7,5.5,1904,212,6.1,7.3,1302,220,0,43
80209,21510,898,5.1,1.3,239,97,12.2,18.8,1114,269,3.9,4.9,3498,392,3.6,2.5,2886,437,4.4,3.5,4199,403,5.3,2.5,2972,370,7.6,4.6,1683,281,5.8,4.1,1561,284,7,6.6,1974,260,3.3,3.9,1384,186,0,26.1
80210,30588,790,5.3,1.2,2551,291,16.1,9.1,3262,509,3.3,2.4,4358,525,4,2.4,3416,457,4.8,3.5,5115,552,5.3,2.5,4152,348,6,3.1,1988,232,5.9,3.2,1928,263,4.2,3.2,1957,180,2.1,2.2,1861,188,0,30.3
80211,27857,968,6.2,1.2,1047,227,16.7,14.2,1604,313,15.3,8.5,3906,478,4.1,2.6,4720,513,2.4,1.3,6187,488,6.5,2.6,3867,377,5.7,2.9,1823,260,8.5,5.1,1313,243,12.9,7.5,1976,253,4,6.6,1414,205,0,34.9
80212,16302,922,6.7,1.8,568,244,21.5,26.3,815,310,17.2,14.1,2336,386,2.3,2.2,2010,323,2.8,1.9,3086,357,5.9,2.8,2627,395,7.9,4.8,1130,222,5.6,5.1,1167,254,14,10,1352,182,11.7,14.2,1211,239,0,25.7
80214,20551,836,9.1,1.9,775,226,66.9,27.2,1994,411,9.3,4.4,3248,413,3.5,2.8,2098,353,5.1,3.9,2930,374,10.5,4.3,3368,493,12.9,4.9,1547,335,6.3,4.9,1400,212,5.4,6,1525,239,6,7.1,1666,232,6.3,18
80215,15458,719,7.5,1.9,576,178,28.8,20.2,1272,284,11.7,7.5,1391,336,7,5.7,1144,247,10,7.7,2265,327,6.3,3.1,2438,319,5.3,2.9,1722,262,6.2,4.9,1268,199,1.6,2.1,1507,194,5.5,6.1,1875,201,5.4,8.1
80216,8484,662,9.8,2.8,790,176,15.1,12.4,1192,348,14,9.8,1055,257,11.1,7.5,1011,222,11.5,8.9,1436,327,9.1,6.5,1366,230,6.3,4.5,480,113,11,11,489,190,0,10.3,338,91,0,24.1,327,89,0,100
80218,17626,708,5.2,1.5,378,163,0,29.2,1340,247,12.5,8.7,3646,484,1.4,1.3,3072,432,3.7,4.2,2854,332,3.6,2.4,1752,282,9.7,5.4,1161,207,4.6,5.2,1228,230,12.8,8.7,1412,200,7.6,7.3,783,183,21.1,30.5
80219,46798,1690,8,1.2,3749,461,23.9,10.3,4499,523,7.9,3.2,5466,628,8.4,2.8,5056,519,11.7,3.8,9616,720,5.5,1.7,6896,560,4.7,2.2,3119,397,8.4,3.9,2586,326,10.9,5.6,3333,317,3.1,3.9,2478,244,0,22.7
80220,29237,929,6.3,1.5,1536,300,38.7,15.9,2046,352,17.4,6.2,3020,561,4.3,3.8,3642,469,4.3,3.1,5996,492,3.8,1.9,5060,543,5.8,3.4,2254,316,5.9,4.9,1785,299,1.8,2,2541,224,2.7,3.2,1357,216,0,21.7
80221,31490,970,9.3,1.6,2398,378,15.5,7.4,3186,477,15.2,7,3549,429,5.8,2.6,3661,397,10.3,4,5217,493,7.9,2.8,5342,404,7.9,2.8,2135,289,8.4,4,1914,330,2.7,3,2109,235,17.3,10.9,1979,221,0,21.1
80222,17602,577,7.9,1.8,648,209,36.4,20.3,1483,340,8.5,4.3,1825,263,8.6,6.7,1750,302,7,4.6,3369,349,4.7,2.3,2665,323,7.1,3.5,1307,211,10.8,8,1382,208,6,4.3,1302,143,4.8,5.4,1871,235,0,36.7
80223,14723,881,5.7,1.8,824,182,7.8,8.9,1386,279,0,2.6,1597,316,3.7,3.1,2201,434,2.9,2.4,2772,406,6.6,4.3,2364,363,10,6.3,1036,212,9.7,8,946,174,7.9,6.8,1007,161,2.9,4.9,590,145,20,80
80224,15150,697,8.1,1.8,481,176,1.3,3.2,1114,352,13.4,11.1,1580,379,14.5,8.9,1700,348,4.9,6.7,2188,319,6.3,3.9,2000,319,13,6,1524,268,1.6,1.8,1159,222,2.3,2.7,1453,170,9,7,1951,266,0,14
80226,25697,698,5.2,1.1,1596,279,22,10.1,2654,448,3.8,2.5,2975,444,5.2,3.1,2315,340,2.5,2.5,4139,424,5.1,3.4,3594,354,4.8,2.4,2079,287,6.6,2.8,1654,237,3.9,4.5,2469,270,3.6,3.2,2222,241,0,21.9
80227,28066,894,5.5,1.1,1719,317,6.6,4.9,2068,306,13.8,7.1,2893,452,6.8,4.4,2442,346,6.2,3,4298,434,4.1,2,5001,425,3.9,1.8,2373,295,5.4,3.8,2082,283,2.8,2.1,3125,316,2.8,2.3,2065,225,0,25.7
80228,26382,678,6.2,1.3,1456,213,10.6,5.8,2550,379,11.8,4.3,2348,353,5,3,2379,347,4.5,2.7,3825,331,3.8,2.2,4875,418,5.6,2.4,2336,300,5,2.1,2209,333,11,7.2,2703,218,4.6,3.2,1701,213,0,27.7
80229,38504,1046,8,1.3,2855,364,27,7.4,3902,470,10.8,3.7,4893,556,3.5,1.9,4221,475,8.3,3.5,7289,586,3.9,1.4,6370,566,11.7,3.6,2630,285,6.1,2.4,2181,321,6.1,4.3,2550,305,2.4,3.8,1613,221,0,32
80230,6575,391,3.9,2.3,271,113,8.9,16.1,267,153,0,12.9,681,208,7.6,12,732,215,3.9,4.1,1646,280,5.1,3.9,1178,230,1.4,2.2,349,127,8.5,13,517,179,0,7.9,515,141,0,12.6,419,120,-,**
80231,29182,930,6.9,1.7,969,285,26.8,15,3441,527,5.5,3.6,4281,616,4.9,3.4,3316,536,10.4,5.5,4918,589,7.1,4.3,4258,559,5.2,3.4,2193,313,4.4,5.2,1697,317,5.1,3.3,2356,287,14.9,9.8,1753,304,0,20.4
80232,18376,664,6.2,1.6,871,190,20.1,11.7,1478,314,8.8,5.7,1791,344,10.5,7.3,1806,315,3.4,2.5,2892,413,3.9,2.8,2717,266,6.1,2.8,1590,248,5.5,3.4,1499,246,4.6,5.3,2096,202,4.2,4.9,1636,211,15.3,16.3
80233,37721,1056,7,1.4,2336,362,21.4,8.6,3508,517,10.4,5.5,4273,520,8.4,3,4008,464,6.8,3.2,7172,558,5.5,2,6204,441,6.3,2.6,3080,429,4.9,3.1,2282,369,1.1,1.9,2659,322,0,4.1,2199,302,0,26.8
80234,20662,706,8.4,2,1007,256,19.7,15.5,1515,287,12,9.4,2700,425,8.4,4.1,2112,288,5.3,3.1,3743,386,8.2,4.7,3113,378,8.9,4.5,1964,296,7,5.4,1656,283,2.7,2.7,1772,221,13.4,8.2,1080,219,0,100
