Zipcode,Total Population 2015,Total Population 2015 Margin of Error,Total Unemployment 2015,Total Unemployment 2015 margin of Error,Age Group 16-19 2015,Age Group 16-19 2015 Margin of Error,Age Group 16-19 2015 Unemployment,Age Group 16-19 2015 Unemployment Margin of Error,Age Group 20-24 2015,Age Group 20-24 2015 Margin of Error,Age Group 20-24 2015 Unemployment,Age Group 20-24 2015 Unemployment Margin of Error,Age Group 25-29 2015,Age Group 25-29 2015 Margin of Error,Age Group 25-29 2015 Unemployment,Age Group 25-29 2015 Unemployment Margin of Error,Age Group 30-34 2015,Age Group 30-34 2015 Margin of Error,Age Group 30-34 2015 Unemployment,Age Group 30-34 2015 Unemployment Margin of Error,Age Group 35-44 2015,Age Group 35-44 2015 Margin of Error,Age Group 35-44 2015 Unemployment,Age Group 35-44 2015 Unemployment Margin of Error,Age Group 45-54 2015,Age Group 45-54 2015 Margin of Error,Age Group 45-54 2015 Unemployment,Age Group 45-54 2015 Unemployment Margin of Error,Age Group 55-64 2015,Age Group 55-64 2015 Margin of Error,Age Group 55-64 2015 Unemployment,Age Group 55-64 2015 Unemployment Margin of Error,Age Group 60-64 2015,Age Group 60-64 2015 Margin of Error,Age Group 60-64 2015 Unemployment,Age Group 60-64 2015 Unemployment Margin of Error,Age Group 65-74 2015,Age Group 65-74 2015 Margin of Error,Age Group 65-74 2015 Unemployment,Age Group 65-74 2015 Unemployment Margin of Error,Age Group 75+ 2015,Age Group 75+ 2015 Margin of Error,Age Group 75+ 2015 Unemployment,Age Group 75+ 2015 Unemployment Margin of Error
67879,979,71,2.1,1.6,30,12,0,87.2,55,39,0,39.5,55,32,0,34.8,71,29,4.5,7.1,97,39,0,23,216,43,2.6,3.7,72,26,0,31.8,110,32,6.2,7.8,109,24,0,45.8,164,32,0,100
80002,15256,630,4.7,1.2,865,236,14.4,11.1,1445,293,4.3,3,1517,332,1.8,2.2,1297,217,7,5.1,2509,337,2.4,2.4,3109,424,4.5,2.3,1284,203,7.8,4.7,954,176,5.9,5.6,1411,217,6.1,9.3,865,146,0,16.2
80003,29155,703,8.6,1.4,1953,316,24.5,10.6,2265,423,11.3,4.7,2749,510,6.8,4.2,2769,398,6.6,3.5,4622,393,7.7,3.4,5302,409,6.4,2.3,2615,353,8.2,4,2158,291,11,6.2,2836,279,3.7,3.9,1886,246,18.3,22.7
80004,30088,682,6.1,1,1727,247,19.3,8.4,2102,322,7.5,3.8,2446,330,6.6,4.8,2524,319,3.8,2.5,4224,391,5.6,2.1,5416,412,4.5,1.8,2709,270,7.5,3.2,2520,277,3.8,2.4,2976,260,6.3,5,3444,253,0,17
80005,22169,625,4,1,1348,231,15.2,9.3,1263,225,5.1,3.8,1125,219,4.5,2.9,1416,223,4.6,3.1,3850,358,2.5,1.6,4679,307,4,2.9,2176,241,3.6,2.9,2038,233,3.3,2.1,2643,255,1.2,1.8,1631,180,5.7,9.8
80007,5948,244,2.9,1.3,399,112,17.6,14.9,264,97,1.3,3.1,232,94,0,13.9,220,70,0,14.9,1049,128,1.6,1.9,1419,155,1.3,1.3,646,137,4.5,4.6,597,134,1.7,2.5,727,117,1.6,3.5,395,104,30.8,23.3
80010,31305,866,11.2,1.5,2519,356,25,9.5,3578,408,17,4.8,3796,426,12.2,5,3840,463,8.1,3.4,6492,512,7.8,2.4,5120,420,10.2,3.4,1957,275,11.4,5.8,1233,188,7.6,6.5,1516,191,10.1,8.2,1254,238,9.5,12.7
80011,35349,1100,10.8,1.4,2895,353,34.6,10.7,4097,488,13.1,5.2,3854,385,11.9,4.7,3311,404,6.9,3.9,6476,460,8.2,2.7,5787,412,8.5,3.1,2344,292,9.4,5.3,2172,330,7.1,4,2595,275,15.6,9.6,1818,195,9.7,10.9
80012,37862,875,10.9,1.4,2374,317,43.1,10.2,3829,401,13.8,5.5,4106,469,12.3,4.2,3598,458,13.9,4.6,6890,487,6.8,2.3,6049,423,7,2.7,2879,358,8.2,3.6,2908,328,9.9,6.3,2706,263,6.8,3.7,2523,248,0,14
80013,55336,1256,7.9,0.9,3831,397,26.5,8.4,4700,511,13,3.6,5611,460,11.9,4.1,6429,626,6.9,2.3,10573,667,5.1,1.4,10092,607,5.1,1.6,4885,467,6.3,2.4,3937,391,3.5,2.3,3744,289,7.1,4.1,1534,208,6.9,13.2
80014,32026,849,7.8,1.3,1438,272,39.1,13.8,2152,289,14.2,5.9,2749,402,7.8,3.8,3143,358,7.9,4.6,4753,482,6.6,2.4,4781,481,3.9,1.8,2574,360,5.1,3.1,2610,298,9,4.9,3927,331,3.9,3.4,3899,349,3.3,5.2
80015,49803,1042,6.2,0.9,4172,377,29.2,8.1,3244,403,11.8,4.7,4003,375,6.6,3.1,4557,434,2.8,1.5,10566,499,3.9,1.7,10259,604,4.6,1.6,4652,372,4.2,1.7,3736,399,5,3,3121,311,6.7,4,1493,234,3.5,9.8
80016,35686,838,3.4,0.6,2712,389,11.2,7.7,2703,308,8.5,3.5,2443,309,5.5,3.7,2514,307,0.7,0.8,8210,434,2,0.8,7382,504,2.9,1.3,2610,363,2.8,2,2158,277,1,1.4,3673,291,2.9,3,1281,249,0,20.9
80017,26110,999,9.3,1.6,1561,256,42.2,18.1,2925,464,16.7,7.4,3173,388,5.1,3.1,3031,462,8.7,4.3,4692,522,7.7,3.2,4353,464,6.2,3.2,2037,303,8.3,4.1,1805,328,6.4,4.7,1973,319,5.8,5.8,560,195,17,30.3
80018,7511,646,7.5,2.9,211,89,34,38.2,449,188,30.9,23.2,590,172,9,4.8,930,229,6.3,7.3,2292,437,4.7,5.6,1305,287,6,6.2,525,129,7.5,6.9,533,142,3.7,6.4,518,134,0,14.6,158,92,-,**
80019,1656,414,5.3,5.1,180,113,0,79,140,107,4.3,13.1,171,95,25.1,31.3,75,53,0,31.7,348,160,2,5.9,463,174,0,6.3,113,87,16.8,29.9,53,45,0,39.1,77,71,0,39.1,36,36,-,**
80020,37965,754,6.1,0.9,2222,252,16.7,8.5,3040,283,12,5.3,3275,305,9.3,3.7,3868,273,5.7,2.4,7250,417,4.6,1.8,7266,372,3.3,1.2,3819,271,4.1,2.2,2567,265,6.2,3.8,2760,234,11.2,7.5,1898,193,0,23.7
80021,26345,734,5.4,1.2,1696,267,17.1,10.6,2851,409,5,2.8,3062,392,5.6,2.9,2644,343,6.1,3.7,4394,309,4.7,1.9,4912,431,4.1,1.7,2074,305,6,3.2,1437,210,2.9,2.9,1882,207,4.8,5.4,1393,226,0,23.6
80022,32442,938,8.5,1.5,2459,373,31.5,10.1,2487,375,14.2,5.8,3376,445,8.3,5,4072,462,4.7,3.7,6537,562,5.9,3.1,5099,547,7.6,2.4,2832,346,11,4.8,1967,277,5,4,2205,291,0.7,1.2,1408,233,0,38.8
80023,14406,788,5,1.5,819,225,13.8,10.5,804,232,15.7,13.8,617,200,4.6,5.9,868,212,0,4.3,3305,334,3.2,1.5,3089,348,5,3,1185,248,7.6,5.7,942,208,1.6,2.2,1884,235,2.9,4.7,893,165,0,29.5
80024,238,120,7.5,11.4,20,31,50,9,0,11,-,**,29,33,0,95,0,11,-,**,89,80,0,33.6,0,11,-,**,36,38,0,67.2,55,49,0,67.2,9,14,-,**,0,11,-,**
80025,386,224,0,8.9,40,53,0,90.1,33,54,0,49.6,30,39,0,53.8,2,5,-,**,2,4,0,100,124,92,0,21.3,65,59,0,34.9,36,43,0,57,34,27,0,76.1,20,30,0,63.7
80026,22652,475,6.4,1.3,1446,298,11.7,11.2,1650,320,15,6.7,1520,309,2.7,2.4,1972,295,7.3,4.3,4486,399,3.2,2.2,4202,395,7.9,2.7,2212,254,6.7,3.1,2101,238,4.7,3.1,1788,226,3.7,4,1275,277,0,16.6
80027,25292,341,4,0.9,1746,251,13.1,8.3,1731,323,5.6,3.3,1872,292,4.1,3.3,2143,305,1,1.1,4903,373,1.9,1.3,5797,324,4.6,2.3,2315,257,6.1,3.1,1907,287,3.2,2.7,1533,237,6,5.8,1345,264,0,38.8
80030,12456,620,12.8,2.4,756,190,41.9,16.5,969,239,19.2,9.7,1357,262,13.1,8.1,1388,279,11.9,4.9,2232,351,2.9,2.4,2126,266,12.6,5.3,854,168,14.2,7.7,905,205,6,5.5,896,168,35.3,28.6,973,147,0,60.7
80031,27887,757,7.3,1.4,1551,296,29.6,11.5,1968,374,18.2,8.6,2645,345,6.6,3.5,2890,364,6.1,3.3,5329,409,4.7,2.3,4291,341,3.9,1.6,2292,261,1.3,1.6,2210,238,3.6,2.3,2939,293,14.1,8.6,1772,223,15.4,14.9
80033,20805,670,8,1.7,1019,223,26.4,15.5,1512,328,18,9,1798,312,3.2,2.7,1874,285,6.2,3.9,3110,401,7.6,3.4,3104,344,7.6,3.2,1844,257,7,3.4,1849,261,6.1,4.6,2182,274,3.8,4,2513,319,0,18.7
80045,652,127,0,9,0,11,-,**,147,91,0,41.6,252,90,0,23.9,80,48,0,33.9,53,38,0,79,30,25,0,52,33,33,0,49.6,4,7,0,100,53,76,0,71.2,0,11,-,**
80101,335,66,5.1,4.5,11,16,-,**,13,13,0,100,15,12,0,73.6,25,17,0,57,56,39,0,42.5,27,21,28.6,38.8,70,36,5,8.4,21,13,40,50.6,70,41,-,**,27,17,0,100
80102,4105,358,6.8,2.7,298,109,8.1,8.9,210,91,13.7,19,382,130,1.4,2,250,110,4.6,7.2,626,121,9.6,6.6,966,154,7.8,4.4,450,110,8.1,8,406,118,0,13.8,358,82,7.1,11.7,159,61,0,62.2
80103,2138,250,6.7,2.6,114,47,40,60,76,34,0,37,163,69,21,25.9,146,71,19.2,24.8,270,90,0,11.3,508,128,7,4.3,234,83,0,14.9,176,65,4,8.4,309,93,4.8,6.6,142,80,0,95
80104,21330,601,4.2,1.3,1481,260,10,7.2,1360,282,3.3,3.3,1714,305,3.9,2.8,2033,294,3.7,3.9,4294,341,5.2,3.1,4289,378,2.2,1.9,1844,283,5.6,3.8,1380,263,2,3.3,2116,247,5.6,4.5,819,171,18.5,24.3
