City_x,County,Zipcode,Total Population 2015,Total Population 2015 Margin of Error,Total Unemployment 2015,Total Unemployment 2015 margin of Error,Age Group 16-19 2015,Age Group 16-19 2015 Margin of Error,Age Group 16-19 2015 Unemployment,Age Group 16-19 2015 Unemployment Margin of Error,Age Group 20-24 2015,Age Group 20-24 2015 Margin of Error,Age Group 20-24 2015 Unemployment,Age Group 20-24 2015 Unemployment Margin of Error,Age Group 25-29 2015,Age Group 25-29 2015 Margin of Error,Age Group 25-29 2015 Unemployment,Age Group 25-29 2015 Unemployment Margin of Error,Age Group 30-34 2015,Age Group 30-34 2015 Margin of Error,Age Group 30-34 2015 Unemployment,Age Group 30-34 2015 Unemployment Margin of Error,Age Group 35-44 2015,Age Group 35-44 2015 Margin of Error,Age Group 35-44 2015 Unemployment,Age Group 35-44 2015 Unemployment Margin of Error,Age Group 45-54 2015,Age Group 45-54 2015 Margin of Error,Age Group 45-54 2015 Unemployment,Age Group 45-54 2015 Unemployment Margin of Error,Age Group 55-64 2015,Age Group 55-64 2015 Margin of Error,Age Group 55-64 2015 Unemployment,Age Group 55-64 2015 Unemployment Margin of Error,Age Group 60-64 2015,Age Group 60-64 2015 Margin of Error,Age Group 60-64 2015 Unemployment,Age Group 60-64 2015 Unemployment Margin of Error,Age Group 65-74 2015,Age Group 65-74 2015 Margin of Error,Age Group 65-74 2015 Unemployment,Age Group 65-74 2015 Unemployment Margin of Error,Age Group 75+ 2015,Age Group 75+ 2015 Margin of Error,Age Group 75+ 2015 Unemployment,Age Group 75+ 2015 Unemployment Margin of Error,License,Street,City_y
Aurora,Arapahoe,80010,31305.0,866.0,11.2,1.5,2519.0,356.0,25,9.5,3578.0,408.0,17,4.8,3796.0,426.0,12.2,5,3840.0,463.0,8.1,3.4,6492.0,512.0,7.8,2.4,5120.0,420.0,10.2,3.4,1957.0,275.0,11.4,5.8,1233.0,188.0,7.6,6.5,1516.0,191.0,10.1,8.2,1254.0,238.0,9.5,12.7,402R-00334,"11900 East 33rd Avenue, Suite 1",Aurora
Aurora,Arapahoe,80010,31305.0,866.0,11.2,1.5,2519.0,356.0,25,9.5,3578.0,408.0,17,4.8,3796.0,426.0,12.2,5,3840.0,463.0,8.1,3.4,6492.0,512.0,7.8,2.4,5120.0,420.0,10.2,3.4,1957.0,275.0,11.4,5.8,1233.0,188.0,7.6,6.5,1516.0,191.0,10.1,8.2,1254.0,238.0,9.5,12.7,402R-00293,503 Havana Street,Aurora
Aurora,Arapahoe,80010,31305.0,866.0,11.2,1.5,2519.0,356.0,25,9.5,3578.0,408.0,17,4.8,3796.0,426.0,12.2,5,3840.0,463.0,8.1,3.4,6492.0,512.0,7.8,2.4,5120.0,420.0,10.2,3.4,1957.0,275.0,11.4,5.8,1233.0,188.0,7.6,6.5,1516.0,191.0,10.1,8.2,1254.0,238.0,9.5,12.7,402R-00267,"1408 Del Mar Parkway, Units D1 & D2",Aurora
Aurora,Arapahoe,80010,31305.0,866.0,11.2,1.5,2519.0,356.0,25,9.5,3578.0,408.0,17,4.8,3796.0,426.0,12.2,5,3840.0,463.0,8.1,3.4,6492.0,512.0,7.8,2.4,5120.0,420.0,10.2,3.4,1957.0,275.0,11.4,5.8,1233.0,188.0,7.6,6.5,1516.0,191.0,10.1,8.2,1254.0,238.0,9.5,12.7,402R-00302,"1450 Havana Street, Suites C & D",Aurora
Aurora,Arapahoe,80010,31305.0,866.0,11.2,1.5,2519.0,356.0,25,9.5,3578.0,408.0,17,4.8,3796.0,426.0,12.2,5,3840.0,463.0,8.1,3.4,6492.0,512.0,7.8,2.4,5120.0,420.0,10.2,3.4,1957.0,275.0,11.4,5.8,1233.0,188.0,7.6,6.5,1516.0,191.0,10.1,8.2,1254.0,238.0,9.5,12.7,402R-00301,10455 East Colfax Avenue,Aurora
Aurora,Adams,80011,35349.0,1100.0,10.8,1.4,2895.0,353.0,34.6,10.7,4097.0,488.0,13.1,5.2,3854.0,385.0,11.9,4.7,3311.0,404.0,6.9,3.9,6476.0,460.0,8.2,2.7,5787.0,412.0,8.5,3.1,2344.0,292.0,9.4,5.3,2172.0,330.0,7.1,4,2595.0,275.0,15.6,9.6,1818.0,195.0,9.7,10.9,402R-00290,19201 East Colfax Avenue,Aurora
Aurora,Adams,80011,35349.0,1100.0,10.8,1.4,2895.0,353.0,34.6,10.7,4097.0,488.0,13.1,5.2,3854.0,385.0,11.9,4.7,3311.0,404.0,6.9,3.9,6476.0,460.0,8.2,2.7,5787.0,412.0,8.5,3.1,2344.0,292.0,9.4,5.3,2172.0,330.0,7.1,4,2595.0,275.0,15.6,9.6,1818.0,195.0,9.7,10.9,402R-00333,1401 Peoria Street,Aurora
Aurora,Adams,80011,35349.0,1100.0,10.8,1.4,2895.0,353.0,34.6,10.7,4097.0,488.0,13.1,5.2,3854.0,385.0,11.9,4.7,3311.0,404.0,6.9,3.9,6476.0,460.0,8.2,2.7,5787.0,412.0,8.5,3.1,2344.0,292.0,9.4,5.3,2172.0,330.0,7.1,4,2595.0,275.0,15.6,9.6,1818.0,195.0,9.7,10.9,402R-00323,719 Billings Street,Aurora
Aurora,Adams,80011,35349.0,1100.0,10.8,1.4,2895.0,353.0,34.6,10.7,4097.0,488.0,13.1,5.2,3854.0,385.0,11.9,4.7,3311.0,404.0,6.9,3.9,6476.0,460.0,8.2,2.7,5787.0,412.0,8.5,3.1,2344.0,292.0,9.4,5.3,2172.0,330.0,7.1,4,2595.0,275.0,15.6,9.6,1818.0,195.0,9.7,10.9,402R-00303,14301 East Colfax Avenue,Aurora
Aurora,Arapahoe,80012,37862.0,875.0,10.9,1.4,2374.0,317.0,43.1,10.2,3829.0,401.0,13.8,5.5,4106.0,469.0,12.3,4.2,3598.0,458.0,13.9,4.6,6890.0,487.0,6.8,2.3,6049.0,423.0,7,2.7,2879.0,358.0,8.2,3.6,2908.0,328.0,9.9,6.3,2706.0,263.0,6.8,3.7,2523.0,248.0,0,14,402R-00269,"11091 East Mississippi Avenue, Suite A",Aurora
